CGP No.,CGP Link,OCLC No.,Item No.,SuDoc No.,Date,PURL,Title
1114045,https://catalog.gpo.gov/F/?func=direct&doc_number=1114045&local_base=GPO01PUB,1138556958,0646-R (online),I 29.89:2010/260,2010,https://purl.fdlp.gov/GPO/gpo131704,Climate and terrestrial ecosystem change in the U.S. Rocky Mountains and Upper Columbia Basin : historical and future perspectives for natural resource management
1114092,https://catalog.gpo.gov/F/?func=direct&doc_number=1114092&local_base=GPO01PUB,1138877370,0646-R (online),I 29.89:2010/192,2010,https://purl.fdlp.gov/GPO/gpo131734,Assessment of coastal water resources and watershed conditions : Kenai Fjords National Park
1114096,https://catalog.gpo.gov/F/?func=direct&doc_number=1114096&local_base=GPO01PUB,1138883582,0068-E-01 (online),A 112.15:C 76/5/2019,2019,https://purl.fdlp.gov/GPO/gpo131211,Conservation Reserve Program.
1114104,https://catalog.gpo.gov/F/?func=direct&doc_number=1114104&local_base=GPO01PUB,1140203466,0624-H (online),I 19.76:2019-1135,2020,https://purl.fdlp.gov/GPO/gpo131739,Economic impacts of Wyoming Landscape Conservation Initiative conservation projects in Wyoming
1114108,https://catalog.gpo.gov/F/?func=direct&doc_number=1114108&local_base=GPO01PUB,1138886772,0646-R (online),I 29.89:2010/172,2010,https://purl.fdlp.gov/GPO/gpo131742,Niobrara National Scenic River condition assessment
1114138,https://catalog.gpo.gov/F/?func=direct&doc_number=1114138&local_base=GPO01PUB,1138890511,0646-R (online),I 29.89:2010/271,2010,https://purl.fdlp.gov/GPO/gpo131754,Technical guidance on assessing impacts to air quality in NEPA and planning documents
1114152,https://catalog.gpo.gov/F/?func=direct&doc_number=1114152&local_base=GPO01PUB,1140508246,0621-L (online),I 19.127:2019-3044,2019,https://purl.fdlp.gov/GPO/gpo131768,"Assessment of undiscovered continuous oil and gas resources in the Upper Ordovician Point Pleasant Formation and Utica Shale of the Appalachian Basin Province, 2019."
1114153,https://catalog.gpo.gov/F/?func=direct&doc_number=1114153&local_base=GPO01PUB,1138903301,0807-A-09 (online),LC 14.24:IF 10897/,-2019,https://purl.fdlp.gov/GPO/gpo131770,Global oil markets and U.S. gasoline prices 2018
1114160,https://catalog.gpo.gov/F/?func=direct&doc_number=1114160&local_base=GPO01PUB,1138900891,0807-A-07 (online),LC 14.23:R 41684/,-2018,https://purl.fdlp.gov/GPO/gpo131263,Enacted and proposed oil spill legislation in the 112th Congress
1114165,https://catalog.gpo.gov/F/?func=direct&doc_number=1114165&local_base=GPO01PUB,1138903366,0807-A-07 (online),LC 14.23:RL 32852/,-2018,https://purl.fdlp.gov/GPO/gpo131270,Energy and water development : FY2006 appropriations
