Date Cataloged,CGP Number,OCLC Number,Item Number,SuDoc Number,Title,Date,PURL1,PURL2,
20190521,001099477,1101991070,0807-A-07 (online),LC 14.23:R 43307/,The Native American Housing Assistance and Self-Determination Act of 1996 (NAHASDA): background and funding /,[2018?]-,https://purl.fdlp.gov/GPO/gpo120789,,
20190517,001099283,1101622601,1008-G (online),Y 1.1/5:116-40,"The Victim of Crime Act of 1984 to secure urgent resources vital to Indian victims of crime, and for other purposes : report (to accompany S. 211) (including cost estimate of the Congressional Budget Office).",[2019],https://purl.fdlp.gov/GPO/gpo120579,https://purl.fdlp.gov/GPO/gpo120580,
20190501,001098167,1099565831,1008-G (online),Y 1.1/5:116-34,"To amend the Indian Self-Determination and Education Assistance Act to provide further self-governance by Indian tribes, and for other purposes : report (to accompany S. 209) (including cost estimate of the Congressional Budget Office).",[2019],https://purl.fdlp.gov/GPO/gpo119644,https://purl.fdlp.gov/GPO/gpo119645,
20190412,001097104,1096437071,1008-G (online),Y 1.1/5:116-28,"To amend the Native American Business Development, Trade Promotion, and Tourism Act of 2000, the Buy Indian Act, and the Native American Programs Act of 1974 to provide industry and economic development opportunities to Indian communities : report (to accompany S. 212) (including cost estimate of the Congressional Budget Office).",[2019],https://purl.fdlp.gov/GPO/gpo118852,https://purl.fdlp.gov/GPO/gpo118853,
20190415,001097189,1097184066,1008-G (online),Y 1.1/5:116-30,To clarify the rights of Indians and Indian tribes on Indian lands under the National Labor Relations Act : report (to accompany S. 226) (including cost estimate of the Congressional Budget Office).,[2019],https://purl.fdlp.gov/GPO/gpo118985,https://purl.fdlp.gov/GPO/gpo118986,
20190415,001097192,1097184497,1008-G (online),Y 1.1/5:116-29,"To establish a business incubators program within the Department of the Interior to promote economic development in Indian reservation communities, and for other purposes : report (to accompany S. 294) (including cost estimate of the Congressional Budget Office).",[2019],https://purl.fdlp.gov/GPO/gpo118957,https://purl.fdlp.gov/GPO/gpo118958,
20190612,001100781,1104294785,1008-G (online),Y 1.1/5:116-45,"To nullify the Supplemental Treaty Between the United States of America and the Confederated Tribes and Bands of Indians of Middle Oregon, concluded on November 15, 1865 : report (to accompany S. 832) (including cost estimate of the Congressional Budget Office).",[2019],https://purl.fdlp.gov/GPO/gpo121750,https://purl.fdlp.gov/GPO/gpo121751,
20190410,001096868,1096280553,1008-G (online),Y 1.1/5:116-21,"To provide for rental assistance for homeless or at-risk Indian veterans, and for other purposes : report (to accompany S. 257) (including cost estimate of the Congressional Budget Office).",[2019],https://purl.fdlp.gov/GPO/gpo118237,  ,
20190523,001099618,1102362113,0968-H-01 (online),J 26.2:T 73,Tribal healing to wellness courts: case management /,2018.,https://purl.fdlp.gov/GPO/gpo120933,,
20190506,001098428,797892584$z(OCoLC)512623721$z(OCoLC)1011922744$z(OCoLC)1022005526$z(OCoLC)1067227856,1009 (online),Y 4.IN 2/11:UM 1,"Umatilla Indian reservation land consolidation, development, and inheritance of trust : hearing before the United States Senate Select Committee on Indian Affairs, Ninety-fifth Congress, first session, on S. 470 pertaining to land consolidation and development on the Umatilla Indian Reservation, S. 471 pertaining to the inheritance of trust or restricted lands on the Umatilla Indian Reservation, July 5, 1977.",1977.,https://purl.fdlp.gov/GPO/gpo119920,  ,
20190520,001099391,1101905102,1023-C (online),Y 4.R 31/3:116-8,"Unmasking the hidden crisis of murdered and missing indigenous women (MMIW) : exploring solutions to end the cycle of violence : oversight hearing before the Subcommittee on Indigenous Peoples of the United States of the Committee on Natural Resources, U.S. House of Representatives, One Hundred Sixteenth Congress, first session, Thursday, March 14, 2019.",2019.,https://purl.fdlp.gov/GPO/gpo120690,https://purl.fdlp.gov/GPO/gpo120691,
20190510,001098764,1048000203,0625 (online),I 19.13:1576-C,"Water-resources reconnaissance of Hoopa Valley, Humboldt County, California /",1961.,https://purl.fdlp.gov/GPO/gpo120272,https://pubs.usgs.gov/wsp/1576c/report.pdf,
