----
| *Title* | *CGP* | *Author* | *Date* | *SuDoc*
:-----------------|:-----------------:|:-----------------:|:-----------------:|:-----------------:
"Addressing regulatory challenges to tribal solar deployment : preprint / Laura Beshilas and eight others.",1206821,https://catalog.gpo.gov/F/?func=direct&doc_number=1206821&local_base=GPO01PUB,"Beshilas, Laura",2022,E 9.17:NREL/CP-7 A 40-82725
"American Indian- and Alaska Native-owned firms, 2002 : 2002 economic census : survey of business owners.",1207072,https://catalog.gpo.gov/F/?func=direct&doc_number=1207072&local_base=GPO01PUB,"No data",2006,C 3.277/3:02-00 CS-AIAN
"Archaic shell rings of the Southeast U.S., historic context.",1207217,https://catalog.gpo.gov/F/?func=direct&doc_number=1207217&local_base=GPO01PUB,"No data",2006,I 29.117:AR 2/2
"Civil rights in America : racial discrimination in housing.",1207223,https://catalog.gpo.gov/F/?func=direct&doc_number=1207223&local_base=GPO01PUB,"No data",2021,I 29.117:C 49/3
"Civil rights in America : racial voting rights.",1207035,https://catalog.gpo.gov/F/?func=direct&doc_number=1207035&local_base=GPO01PUB,"No data",2009,I 29.117:C 49/2
"Examining the history of federal lands and the development of tribal co-management : oversight hearing before the Committee on Natural Resources, U.S. House of Representatives, One Hundred Seventeenth Congress, second session, Tuesday, March 8, 2022.",1206430,https://catalog.gpo.gov/F/?func=direct&doc_number=1206430&local_base=GPO01PUB,"United States. Congress. House. Committee on Natural Resources",2022,Y 4.R 31/3:117-15
"Food Safety: FDA coordinating with stakeholders on new rules but challenges remain and greater tribal consultation needed : report to the Committee on Health, Education, Labor, and Pensions, U.S. Senate.",1202574,https://catalog.gpo.gov/F/?func=direct&doc_number=1202574&local_base=GPO01PUB,"United States. Government Accountability Office",2016,GA 1.13:GAO-16-425
"Handbook of North American Indians / William C. Sturtevant, general editor.",1206675,https://catalog.gpo.gov/F/?func=direct&doc_number=1206675&local_base=GPO01PUB,"No data",1978,SI 1.20/2:
"Historic contact : early relations between Indian people and colonists in northeastern North America, 1524-1783 / Robert S. Grumet.",1207350,https://catalog.gpo.gov/F/?func=direct&doc_number=1207350&local_base=GPO01PUB,"Grumet, Robert Steven",1992,I 29.117:E 7
"Indian Affairs: actions needed to better manage Indian school construction projects : report to the the Subcommittee on Interior, Environment, and Related Agencies, Committee on Appropriations, House of Representatives.",1203255,https://catalog.gpo.gov/F/?func=direct&doc_number=1203255&local_base=GPO01PUB,"United States. Government Accountability Office",2017,GA 1.13:GAO-17-447
"Keepers of the treasures : protecting historic properties and cultural traditions on Indian lands : a report on tribal preservation funding needs submitted to Congress by the National Park Service, United States Department of the Interior / prepared by National Park Service, Interagency Resources Division, Branch of Preservation Planning.",1206952,https://catalog.gpo.gov/F/?func=direct&doc_number=1206952&local_base=GPO01PUB,"Parker, Patricia L. (Patricia Lee)",1990,I 29.2:T 71/6
"National Historic Landmarks Program : six-year progress report, 2011-2016.",1206969,https://catalog.gpo.gov/F/?func=direct&doc_number=1206969&local_base=GPO01PUB,"No data",1800,I 29.2:H 62/48
"Public school choice: limited options available for many American Indian and Alaska Native students : report to congressional requesters.",1203781,https://catalog.gpo.gov/F/?func=direct&doc_number=1203781&local_base=GPO01PUB,"United States. Government Accountability Office",2019,GA 1.13:GAO-19-226
"Radon-222 concentrations in ground water and soil gas on Indian reservations in Wisconsin / by John F. DeWild and James T. Krohelski.",1204903,https://catalog.gpo.gov/F/?func=direct&doc_number=1204903&local_base=GPO01PUB,"DeWild, John F.",1995,I 19.42/4:95-4088
"S. 1397, S. 3168, S. 3308, S. 3443, S. 3773 and S. 3789 : hearing before the Committee on Indian Affairs, United States Senate, One Hundred Seventeenth Congress, second session, March 23, 2022.",1203032,https://catalog.gpo.gov/F/?func=direct&doc_number=1203032&local_base=GPO01PUB,"United States. Congress. Senate. Committee on Indian Affairs (1993- )",2022,Y 4.IN 2/11:S.HRG.117-360
"Strengthening the federal-tribal relationship : 25-year report on monitoring consultation under the Northwest Forest Plan / report prepared by Haley Case-Scott and Kathy Lynn.",1206504,https://catalog.gpo.gov/F/?func=direct&doc_number=1206504&local_base=GPO01PUB,"Case-Scott, Haley",2021,A 13.2:N 81/17
"The Clash of Cultures trails project : assessing the national significance of trails associated with U.S. Army/American Indian campaigns in the trans-Mississppi West.",1207349,https://catalog.gpo.gov/F/?func=direct&doc_number=1207349&local_base=GPO01PUB,"No data",2002,I 29.117:C 56
"Tips for disaster responders. Cultural awareness when working in Indian country post-disaster.",1204316,https://catalog.gpo.gov/F/?func=direct&doc_number=1204316&local_base=GPO01PUB,"No data",2022,HE 20.402:T 49/2/CULTURAL/2022
"Tips for disaster responders. Understanding historical trauma and resilience when responding to an event in Indian country.",1204418,https://catalog.gpo.gov/F/?func=direct&doc_number=1204418&local_base=GPO01PUB,"No data",2022,HE 20.402:T 49/2/TRAUMA/2022
"To amend the Coastal Zone Management Act of 1972 to authorize grants to Indian Tribes to further achievement of Tribal coastal zone objectives, and for other purposes : report together with dissenting views (to accompany H.R. 1415) (including cost estimate of the Congressional Budget Office).",1207100,https://catalog.gpo.gov/F/?func=direct&doc_number=1207100&local_base=GPO01PUB,"United States. Congress. House. Committee on Natural Resources",2022,Y 1.1/8:117-564
"Unresolved cases : a review of protocols and resources for supporting investigations involving American Indians and Alaska natives / Bruce Bundowle, Jeffrey Lindsey, B.J. Spamer.",1205024,https://catalog.gpo.gov/F/?func=direct&doc_number=1205024&local_base=GPO01PUB,"Bundowle, Bruce",2022,J 36.2:UN 7
