----
| *Title* | *CGP* | *Author* | *Date* | *SuDoc*
:-----------------|:-----------------|:-----------------|:-----------------|:-----------------
"Amending the Alaska Native Claims Settlement Act : hearing before the Subcommittee on Indian Affairs of the Committee on Interior and Insular Affairs, House of Representatives, Ninety-third Congress, second session, on H.R. 12355, to amend the Alaska Native Claims Settlement Act (85 Stat. 688) : hearing held in Washington, D.C., February 4, 1974.",1200836,https://catalog.gpo.gov/F/?func=direct&doc_number=1200836&local_base=GPO01PUB,"United States. Congress. House. Committee on Interior and Insular Affairs. Subcommittee on Indian Affairs",1974,Y 4.IN 8/14:93-41
"The American Indian and Alaska native population : 2010 / by Tina Norris, Paula L. Vines, and Elizabeth M. Hoeffel.",1194511,https://catalog.gpo.gov/F/?func=direct&doc_number=1194511&local_base=GPO01PUB,"Norris, Tina",2012,C 3.205/8:C 2010 BR-10
"Canada : tribal marriages under the law.",1193734,https://catalog.gpo.gov/F/?func=direct&doc_number=1193734&local_base=GPO01PUB,"Clarke, Stephen F.",1997,LC 42.20:T 73/3
"Cases associated with violence in the National Missing and Unidentified Persons System (NamUs) : the examination of circumstances & characteristics project / Steven P. Hafner, B.J. Spamer, Bruce Budowle.",1181705,https://catalog.gpo.gov/F/?func=direct&doc_number=1181705&local_base=GPO01PUB,"Hafner, Steven P.",2020,J 28.2:C 26
"Culturally significant plants / P. Allen Casey and Richard L. Wynia ; adapted from powerpoint presentation by Patrick J. Broyles.",1192801,https://catalog.gpo.gov/F/?func=direct&doc_number=1192801&local_base=GPO01PUB,"Davis, Cleve",2010,A 1.11/3:C 89
"Documentation for analysis of violence against American Indian and Alaska Native women and men: 2010 findings from the National Intimate Partner and Sexual Violence Survey (NISVS) by the National Institute of Justice / André B. Rosay.",1192202,https://catalog.gpo.gov/F/?func=direct&doc_number=1192202&local_base=GPO01PUB,"Rosay, André",2016,J 28.2:V 71
"FY 2022 funding opportunities to support tribal justice systems.",1181245,https://catalog.gpo.gov/F/?func=direct&doc_number=1181245&local_base=GPO01PUB,"No data",2022,J 26.33:T 73/2
"High-risk : Bureau of Indian Education has addressed some management weaknesses, but additional work is needed on others: testimony before the Subcommittee on Early Childhood, Elementary, and Secondary Education, Committee on Education and Labor, and the Subcommittee for Indigenous Peoples of the United States, Committee on Natural Resources, House of Representatives / Elizabeth Sirois.",1194968,https://catalog.gpo.gov/F/?func=direct&doc_number=1194968&local_base=GPO01PUB,"United States. Government Accountability Office",2022,GA 1.13:GAO-22-106104
"Indian Self-determination and Education Assistance Act : hearings before the Subcommittee on Indian Affairs of the Committee on Interior and Insular Affairs, House of Representatives, Ninety-third Congress, second session, on S. 1017 and related bills : hearings held in Washington, D.C., May 20 and 21, 1974.",1200794,https://catalog.gpo.gov/F/?func=direct&doc_number=1200794&local_base=GPO01PUB,"United States. Congress. House. Committee on Interior and Insular Affairs. Subcommittee on Indian Affairs",1974,Y 4.IN 8/14:93-54
"Missing or murdered Indigenous persons (MMIP).",1192168,https://catalog.gpo.gov/F/?func=direct&doc_number=1192168&local_base=GPO01PUB,"United States. Office of Justice Programs. Office for Victims of Crime",2021,J 34.2:M 69
