----
| *Title* | *CGP* | *Author* | *Date* | *SuDoc*
|:-----------------|:-----------------|:-----------------|:-----------------|:-----------------
""Willing to sacrifice" : Carter G. Woodson, the father of Black history, and the Carter G. Woodson Home : Woodson Home National Historic Site, historic resource study/",1451337,https://catalog.gpo.gov/F/?func=direct&doc_number=1451337&local_base=GPO01PUB,"Dagbovie, Pero Gaglo, https://id.oclc.org/worldcat/entity/E39PCjFyTfHBQ3XQ3YddtWy6Dm",2012,I 29.58/3:W 86
"... NAEP science assessment framework.",1445919,https://catalog.gpo.gov/F/?func=direct&doc_number=1445919&local_base=GPO01PUB,"No data",1800,ED 1.2:SCI 2/3/
"Acknowledging historical and ongoing harm : the connections between systemic racism and human trafficking.",1449711,https://catalog.gpo.gov/F/?func=direct&doc_number=1449711&local_base=GPO01PUB,"No data",2021,S 1.2:R 11/4
"Additional measures to combat anti-semitism : executive order /",1446622,https://catalog.gpo.gov/F/?func=direct&doc_number=1446622&local_base=GPO01PUB,"United States. President (2025- : Trump)",2025,PR 47.2:AD 2
"After-action assessment of the police response to the August 2014 demonstrations in Ferguson, Missouri /",1449495,https://catalog.gpo.gov/F/?func=direct&doc_number=1449495&local_base=GPO01PUB,"United States. Department of Justice. Office of Community Oriented Policing Services",2015,J 36.2:F 38
"Annual report for fiscal year ... under the Notification and Federal Employee Antidiscrimination and Retaliation Act of 2002.",1443115,https://catalog.gpo.gov/F/?func=direct&doc_number=1443115&local_base=GPO01PUB,"United States. Railroad Retirement Board",1800,RR 1.2:N 84/
"Anti-NGO laws and other tools of democratic repression : hearing before the Committee on Foreign Relations, United States Senate, One Hundred Eighteenth Congress, second session, September 12, 2024.",1446126,https://catalog.gpo.gov/F/?func=direct&doc_number=1446126&local_base=GPO01PUB,"United States. Congress. Senate. Committee on Foreign Relations",2025,Y 4.F 76/2:S.HRG.118-540
"Artificial intelligence in financial services : hearing before the Committee on Banking, Housing and Urban Affairs, United States Senate, One Hundred Eighteenth Congress, first session, on examining the use of artificial intelligence in financial services, September 20, 2023.",1450643,https://catalog.gpo.gov/F/?func=direct&doc_number=1450643&local_base=GPO01PUB,"United States. Congress. Senate. Committee on Banking, Housing, and Urban Affairs",2025,Y 4.B 22/3:S.HRG.118-483
"Bending toward justice: 60 years of civil rights laws protecting workers in America.",1450528,https://catalog.gpo.gov/F/?func=direct&doc_number=1450528&local_base=GPO01PUB,"No data",2025,Y 3.EQ 2:2 C 49/3
"CHIPS and Science implementation and oversight : hearing before the Committee on Commerce, Science, and Transportation, United States Senate, One Hundred Eighteenth Congress, first session, October 4, 2023.",1451075,https://catalog.gpo.gov/F/?func=direct&doc_number=1451075&local_base=GPO01PUB,"United States. Congress. Senate. Committee on Commerce, Science, and Transportation",2025,Y 4.C 73/7:S.HRG.118-601
"Civil War to Civil Rights Commemoration : summary report.",1451320,https://catalog.gpo.gov/F/?func=direct&doc_number=1451320&local_base=GPO01PUB,"No data",2017,I 29.2:C 49/12
"Combating workplace antisemitism in postsecondary education : protecting employees from discrimination : hearing before the Subcommittee on Workforce Protections of the Committee on Education and the Workforce, U.S. House of Representatives, One Hundred Eighteenth Congress, second session, hearing held in Washington, DC, June 26, 2024.",1445308,https://catalog.gpo.gov/F/?func=direct&doc_number=1445308&local_base=GPO01PUB,"United States. Congress. House. Committee on Education and the Workforce. Subcommittee on Workforce Protections",2024,Y 4.ED 8/1:118-55
"Contesting Russia : lessons from Central and Eastern Europe : October 23, 2024 : briefing of the Commission on Security and Cooperation in Europe.",1451584,https://catalog.gpo.gov/F/?func=direct&doc_number=1451584&local_base=GPO01PUB,"United States. Congress. Commission on Security and Cooperation in Europe",2025,Y 4.SE 2:R 92/24
"Continuation of the national emergency with respect to Ukraine : message from the President of the United States transmitting a notification that the national emergency with respect to the actions and policies of persons that undermine democratic processes and institutions in Ukraine, that was declared in Executive Order 13660 of March 6, 2014, is to continue in effect beyond March 6, 2025, pursuant to 50 U.S.C. 1622(d); Public Law 94-412, Sec. 202(d); (90 Stat. 1255).",1449632,https://catalog.gpo.gov/F/?func=direct&doc_number=1449632&local_base=GPO01PUB,"United States. President (2025- : Trump)",2025,Y 1.1/7:119-22
"Continuation of the national emergency with respect to the situation in the West Bank : message from the President of the United States transmitting notice of the continuation of the national emergency with respect to the situation in the West Bank that was declared in Executive Order 14115 of February 1, 2024, pursuant to 50 U.S.C. 1622(d); Public Law 94-412, Sec. 202(d); (90 Stat. 1255).",1445714,https://catalog.gpo.gov/F/?func=direct&doc_number=1445714&local_base=GPO01PUB,"United States. President (2021-2025 : Biden)",2025,Y 1.1/7:119-7
"Countering authoritarian abuse of INTERPOL : October 29, 2024 : briefing of the Commission on Security and Cooperation in Europe.",1446581,https://catalog.gpo.gov/F/?func=direct&doc_number=1446581&local_base=GPO01PUB,"United States. Congress. Commission on Security and Cooperation in Europe",2025,Y 4.SE 2:AU 8
"Cuba democracy assistance: USAID should improve collection of security risk information to help awardee mitigation efforts : report to the Ranking Member, Subcommittee on State, Foreign, Operations, and Related Programs, Committee on Appropriations, House of Representatives.",1445331,https://catalog.gpo.gov/F/?func=direct&doc_number=1445331&local_base=GPO01PUB,"United States. Government Accountability Office",2025,GA 1.13:GAO-25-107712
"Digital.Gov.",1446442,https://catalog.gpo.gov/F/?func=direct&doc_number=1446442&local_base=GPO01PUB,"No data",1800,GS 1.2:D 54/
"Discrimination on the basis of race, color, or national origin is illegal and morally reprehensible : "Dear colleague letter."",1449403,https://catalog.gpo.gov/F/?func=direct&doc_number=1449403&local_base=GPO01PUB,"No data",2025,ED 1.2:D 63/11
"Equal Employment Opportunity: USDA could strengthen efforts to address workplace discrimination complaints : report to congressional committees.",1445781,https://catalog.gpo.gov/F/?func=direct&doc_number=1445781&local_base=GPO01PUB,"United States. Government Accountability Office",2025,GA 1.13:GAO-25-105804
"Examining the policies and priorities of the U.S. Department of Education : hearing before the Committee on Education and Labor, U.S. House of Representatives, One Hundred Seventeenth Congress, second session, hearing held in Washington, DC, May 26, 2022.",1446593,https://catalog.gpo.gov/F/?func=direct&doc_number=1446593&local_base=GPO01PUB,"United States. Congress. House. Committee on Education and Labor",2025,Y 4.ED 8/1:117-47
"Fact sheet: President Donald J. Trump launches PCAST to restore American leadership in science and technology /",1449951,https://catalog.gpo.gov/F/?func=direct&doc_number=1449951&local_base=GPO01PUB,"No data",2025,PREX 1.24:SC 1
