001,008,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
001077482,151113s1962\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929058460, 0249-A (online), C 13.46:137, A bibliography of the thermophysical properties of oxygen at low temperatures / , NBS technical note ; 137 , https://doi.org/10.6028/NBS.TN.137 https://www.govinfo.gov/content/pkg/GOVPUB-C13-70ed424b044f64505b7c4b9b9feb6ad4/pdf/GOVPUB-C13-70ed424b044f64505b7c4b9b9feb6ad4.pdf https://purl.fdlp.gov/GPO/gpo99231
001077487,151113s1962\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929058719, 0249-A (online), C 13.46:142, Atlas of Fourier coefficients of diurnal variation of foF2 / , NBS technical note ; 142 , https://doi.org/10.6028/NBS.TN.142 https://www.govinfo.gov/content/pkg/GOVPUB-C13-6ff76617718fd7b42478f41553de1d15/pdf/GOVPUB-C13-6ff76617718fd7b42478f41553de1d15.pdf https://purl.fdlp.gov/GPO/gpo99187
001077489,151113s1962\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929058635, 0249-A (online), C 13.46:144, Dielectric constant of liquid parahydrogen / , NBS technical note ; 144 , https://doi.org/10.6028/NBS.TN.144 https://www.govinfo.gov/content/pkg/GOVPUB-C13-802683146c7be7ff7326832f3fea3425/pdf/GOVPUB-C13-802683146c7be7ff7326832f3fea3425.pdf https://purl.fdlp.gov/GPO/gpo99823
001077491,151113s1962\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929058834, 0249-A (online), C 13.46:146," Analysis of ionospheric vertical soundings for electron density profile data. III, Procedures for obtaining monthly summary virtual height curves for N (h) analysis (composite virtual height curves) / ", NBS technical note ; 146 , https://doi.org/10.6028/NBS.TN.146 https://www.govinfo.gov/content/pkg/GOVPUB-C13-33053b2d241a479a0fb51c8a6fa263cf/pdf/GOVPUB-C13-33053b2d241a479a0fb51c8a6fa263cf.pdf https://purl.fdlp.gov/GPO/gpo96524
001077498,151113s1962\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929058886, 0249-A (online), C 13.46:154, The thermodynamic properties of helium from 3 to 300* K between 0.5 and 100 atmospheres / , NBS technical note ; 154 , https://doi.org/10.6028/NBS.TN.154 https://www.govinfo.gov/content/pkg/GOVPUB-C13-9e6bf5062b9de0e3e25029efd9df52aa/pdf/GOVPUB-C13-9e6bf5062b9de0e3e25029efd9df52aa.pdf https://purl.fdlp.gov/GPO/gpo101169
001077512,151113s1963\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929059033, 0249-A (online), C 13.46:170, Phototypesetting of computer output:  an example using tabular data /, NBS technical note ; 170 , https://doi.org/10.6028/NBS.TN.170 https://www.govinfo.gov/content/pkg/GOVPUB-C13-d06f24c2677bd8cb12cce027c9c4f633/pdf/GOVPUB-C13-d06f24c2677bd8cb12cce027c9c4f633.pdf https://purl.fdlp.gov/GPO/gpo103224
001077516,151113s1963\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929059063, 0249-A (online), C 13.46:174, Research on crystal growth and defect characterization at the National Bureau of Standards during the period July to December 1962 / , NBS technical note ; 174 , https://doi.org/10.6028/NBS.TN.174 https://www.govinfo.gov/content/pkg/GOVPUB-C13-dfdd269c755728891bccfeeafe4b7cbc/pdf/GOVPUB-C13-dfdd269c755728891bccfeeafe4b7cbc.pdf https://purl.fdlp.gov/GPO/gpo104113
001077526,151113s1963\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929059152, 0249-A (online), C 13.46:185," Lectures on ion-atom collisions:  lectures delivered at the Joint Institute for Laboratory Astrophysics, University of Colorado, during September, 1962 /", NBS technical note ; 185 , https://doi.org/10.6028/NBS.TN.185 https://www.govinfo.gov/content/pkg/GOVPUB-C13-35b3a89ae5fdb87c324477abf5f9b01d/pdf/GOVPUB-C13-35b3a89ae5fdb87c324477abf5f9b01d.pdf https://purl.fdlp.gov/GPO/gpo96613
001077527,151113s1963\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929059154, 0249-A (online), C 13.46:186, Tabulation of published data on Soviet electron devices / , NBS technical note ; 186 , https://doi.org/10.6028/NBS.TN.186 https://www.govinfo.gov/content/pkg/GOVPUB-C13-280552c6f404ee136b4c618919347a4c/pdf/GOVPUB-C13-280552c6f404ee136b4c618919347a4c.pdf https://purl.fdlp.gov/GPO/gpo96323
001077533,151113s1963\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929059172, 0249-A (online), C 13.46:193, A bibliography of foreign developments in machine translation and information processing / , NBS technical note ; 193 , https://doi.org/10.6028/NBS.TN.193 https://www.govinfo.gov/content/pkg/GOVPUB-C13-a74c497fb5a11f14116d18b14505f4c0/pdf/GOVPUB-C13-a74c497fb5a11f14116d18b14505f4c0.pdf https://purl.fdlp.gov/GPO/gpo101537
001077537,151113s1963\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929059247, 0249-A (online), C 13.46:197, Research on crystal growth and characterization at the National Bureau of Standards during the period January to June 1963 / , NBS technical note ; 197 , https://doi.org/10.6028/NBS.TN.197 https://www.govinfo.gov/content/pkg/GOVPUB-C13-72fb896ea5763dec0ff8b99fb4962735/pdf/GOVPUB-C13-72fb896ea5763dec0ff8b99fb4962735.pdf https://purl.fdlp.gov/GPO/gpo99300
001077543,151113s1963\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929059312, 0249-A (online), C 13.46:203," BOUMAC, a macroprogramming system for scientific computation / ", NBS technical note ; 203 , https://doi.org/10.6028/NBS.TN.203 https://www.govinfo.gov/content/pkg/GOVPUB-C13-f670a1700bb3393d3f400f1f19d9a9e7/pdf/GOVPUB-C13-f670a1700bb3393d3f400f1f19d9a9e7.pdf https://purl.fdlp.gov/GPO/gpo105040
001077548,151113s1964\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929059388, 0249-A (online), C 13.46:209, Calculation of sunrise and sunset times at ionospheric heights along a great circle path / , NBS technical note ; 209 , https://doi.org/10.6028/NBS.TN.209 https://www.govinfo.gov/content/pkg/GOVPUB-C13-260b84256d9be2d3d2ef98e35867d355/pdf/GOVPUB-C13-260b84256d9be2d3d2ef98e35867d355.pdf https://purl.fdlp.gov/GPO/gpo95889
001077550,151113s1964\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929059392, 0249-A (online), C 13.46:211," Conference on Non-linear Processes in the Ionosphere, December 16-17, 1963. Volume 1 / ", NBS technical note ; 211 , https://doi.org/10.6028/NBS.TN.211 https://www.govinfo.gov/content/pkg/GOVPUB-C13-2c56408b9046f5268af12712e0d19cd7/pdf/GOVPUB-C13-2c56408b9046f5268af12712e0d19cd7.pdf https://purl.fdlp.gov/GPO/gpo96196
001077551,151113s1964\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929059205, 0249-A (online), C 13.46:211-2," Conference on Non-linear Processes in the Ionosphere, December 16-17, 1963. Volume 2 / ", NBS technical note ;  211-2. , https://doi.org/10.6028/NBS.TN.211-2 https://www.govinfo.gov/content/pkg/GOVPUB-C13-e91acf36c60a5ac43b304a37a08506b9/pdf/GOVPUB-C13-e91acf36c60a5ac43b304a37a08506b9.pdf https://purl.fdlp.gov/GPO/gpo104505
001077552,151113s1964\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929059435, 0249-A (online), C 13.46:211-3," Conference on Non-linear Processes in the Ionosphere, December 16-17, 1963. Volume 3 / ", NBS technical note ;  211-3. , https://doi.org/10.6028/NBS.TN.211-3 https://www.govinfo.gov/content/pkg/GOVPUB-C13-8e8824e3d9e32f327c18e68830eaf8d3/pdf/GOVPUB-C13-8e8824e3d9e32f327c18e68830eaf8d3.pdf https://purl.fdlp.gov/GPO/gpo100562
001077553,151113s1964\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929059436, 0249-A (online), C 13.46:211-4," Conference on Non-linear Processes in the Ionosphere, December 16-17, 1963. Volume 4 / ", NBS technical note ;  211-4. , https://doi.org/10.6028/NBS.TN.211-4 https://www.govinfo.gov/content/pkg/GOVPUB-C13-c7f225442bb9248c6e7a9f3634d8b1eb/pdf/GOVPUB-C13-c7f225442bb9248c6e7a9f3634d8b1eb.pdf https://purl.fdlp.gov/GPO/gpo102882
001077554,151113s1964\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929059206, 0249-A (online), C 13.46:211-5," Conference on Non-linear Processes in the Ionosphere, December 16-17, 1963. Volume 5 / ", NBS technical note ;  211-5. , https://doi.org/10.6028/NBS.TN.211-5 https://www.govinfo.gov/content/pkg/GOVPUB-C13-f64532da279285fb68e9c4c481078fed/pdf/GOVPUB-C13-f64532da279285fb68e9c4c481078fed.pdf https://purl.fdlp.gov/GPO/gpo105036
001077555,151113s1964\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929059456, 0249-A (online), C 13.46:211-6," Conference on Non-linear Processes in the Ionosphere, December 16-17, 1963. Volume 6 / ", NBS technical note ;  211-6. , https://doi.org/10.6028/NBS.TN.211-6 https://www.govinfo.gov/content/pkg/GOVPUB-C13-470e8efe448d393e69b7f3776a0e8559/pdf/GOVPUB-C13-470e8efe448d393e69b7f3776a0e8559.pdf https://purl.fdlp.gov/GPO/gpo97471
001077559,151113s1964\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929059527, 0249-A (online), C 13.46:217, A bibliography of thermophysical properties of argon from 0 to 300* K / , NBS technical note ; 217 , https://doi.org/10.6028/NBS.TN.217 https://www.govinfo.gov/content/pkg/GOVPUB-C13-6b76116e4bef246fe66e5afb0a2ae0fb/pdf/GOVPUB-C13-6b76116e4bef246fe66e5afb0a2ae0fb.pdf https://purl.fdlp.gov/GPO/gpo98999
001077567,151113s1965\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929059572, 0249-A (online), C 13.46:225, Optical scintillation:  a survey of the literature /, NBS technical note ; 225 , https://doi.org/10.6028/NBS.TN.225 https://www.govinfo.gov/content/pkg/GOVPUB-C13-25e8f6a9029e9512530c959bd47f5642/pdf/GOVPUB-C13-25e8f6a9029e9512530c959bd47f5642.pdf https://purl.fdlp.gov/GPO/gpo95882
001077574,151113s1964\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929059681, 0249-A (online), C 13.46:232, Bibliography on the measurement of bulk resistivity of semiconductor materials for electron devices / , NBS technical note ; 232 , https://doi.org/10.6028/NBS.TN.232 https://www.govinfo.gov/content/pkg/GOVPUB-C13-465226527b1373166f73b598f157055f/pdf/GOVPUB-C13-465226527b1373166f73b598f157055f.pdf https://purl.fdlp.gov/GPO/gpo97297
001077576,151113s1964\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929059685, 0249-A (online), C 13.46:234," Soviet research in field emission, 1960-1963:  an annotated bibliography /", NBS technical note ; 234 , https://doi.org/10.6028/NBS.TN.234 https://www.govinfo.gov/content/pkg/GOVPUB-C13-838dc2b14c0ad090cca808ecfe8fb371/pdf/GOVPUB-C13-838dc2b14c0ad090cca808ecfe8fb371.pdf https://purl.fdlp.gov/GPO/gpo99958
001077578,151113s1964\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929059729, 0249-A (online), C 13.46:236, Research on crystal growth and characterization at the National Bureau of Standards :  July to December 1963 /, NBS technical note ; 236 , https://doi.org/10.6028/NBS.TN.236 https://www.govinfo.gov/content/pkg/GOVPUB-C13-ffe43afbcfc5ce61d4b7952bd2f2bcd8/pdf/GOVPUB-C13-ffe43afbcfc5ce61d4b7952bd2f2bcd8.pdf https://purl.fdlp.gov/GPO/gpo105431
001077583,151113s1964\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929059772, 0249-A (online), C 13.46:242, A Fortran program for analysis of ellipsometer measurements and calculation of reflection coefficients from thin films / , NBS technical note ; 242 , https://doi.org/10.6028/NBS.TN.242 https://www.govinfo.gov/content/pkg/GOVPUB-C13-36ea74baef3e4fdcd29f930f0c757719/pdf/GOVPUB-C13-36ea74baef3e4fdcd29f930f0c757719.pdf https://purl.fdlp.gov/GPO/gpo96653
001077592,151113s1964\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929059742, 0249-A (online), C 13.46:252," Procedures for precise determination of thermal radiation properties, November 1962 to October 1963 / ", NBS technical note ; 252 , https://doi.org/10.6028/NBS.TN.252 https://www.govinfo.gov/content/pkg/GOVPUB-C13-b633ae849b7f2782e1c2ffa1d0a1b06e/pdf/GOVPUB-C13-b633ae849b7f2782e1c2ffa1d0a1b06e.pdf https://purl.fdlp.gov/GPO/gpo102130
001077593,151113s1964\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929059661, 0249-A (online), C 13.46:253," Disclosures on various subjects:  a plumbing vent manifold, a micro-adjuster, a glass joint or stopcock, and a miniature puller /", NBS technical note ; 253 , https://doi.org/10.6028/NBS.TN.253 https://www.govinfo.gov/content/pkg/GOVPUB-C13-1599fda8c8c0fac041061a5cf02a1b5c/pdf/GOVPUB-C13-1599fda8c8c0fac041061a5cf02a1b5c.pdf https://purl.fdlp.gov/GPO/gpo95169
001077595,151113s1965\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929059663, 0249-A (online), C 13.46:255," PLACEBO IV:  rules, concordance, sample computer generation /", NBS technical note ; 255 , https://doi.org/10.6028/NBS.TN.255 https://www.govinfo.gov/content/pkg/GOVPUB-C13-2f4da7d8bd2e22acb9f7c9d0b3100871/pdf/GOVPUB-C13-2f4da7d8bd2e22acb9f7c9d0b3100871.pdf https://purl.fdlp.gov/GPO/gpo96428
001077599,151113s1965\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929059904, 0249-A (online), C 13.46:259, A FORTRAN program for determining an empirical expression or a quantity measured at combinations of several levels of each of two variables / , NBS technical note ; 259 , https://doi.org/10.6028/NBS.TN.259 https://www.govinfo.gov/content/pkg/GOVPUB-C13-77b68509f15591fac0023f112f129575/pdf/GOVPUB-C13-77b68509f15591fac0023f112f129575.pdf https://purl.fdlp.gov/GPO/gpo100106
001077600,151113s1965\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929059905, 0249-A (online), C 13.46:260, Research on crystal growth and characterization at the National Bureau of Standards July to December 1964 / , NBS technical note ; 260 , https://doi.org/10.6028/NBS.TN.260 https://www.govinfo.gov/content/pkg/GOVPUB-C13-c752b677f3cf1c82aac8c66a72d2e4d6/pdf/GOVPUB-C13-c752b677f3cf1c82aac8c66a72d2e4d6.pdf https://purl.fdlp.gov/GPO/gpo102850
