001,008,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
001076154,151019s1993\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925473290, 0247-A (online), C 13.44:175, Temperature-electromotive force reference functions and tables for the letter-designated thermocouple types based on the ITS-90 / , NIST monograph ; 175 , https://doi.org/10.6028/NIST.MONO.175 https://www.govinfo.gov/content/pkg/GOVPUB-C13-45bb812592c58ce0a751a58a8378e289/pdf/GOVPUB-C13-45bb812592c58ce0a751a58a8378e289.pdf https://purl.fdlp.gov/GPO/gpo97274
001076155,151019s1991\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925473291, 0247-A (online), C 13.44:176, Modified airy function and WKB solutions to the wave equation / , NIST monograph ; 176 , https://doi.org/10.6028/NIST.MONO.176 https://www.govinfo.gov/content/pkg/GOVPUB-C13-2735f63e0bbd35896a3f06459d624c02/pdf/GOVPUB-C13-2735f63e0bbd35896a3f06459d624c02.pdf https://purl.fdlp.gov/GPO/gpo95921
001076156,151019s1992\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925473292, 0247-A (online), C 13.44:177, Properties of copper and copper alloys at cryogenic temperatures / , NIST monograph ; 177 , https://doi.org/10.6028/NIST.MONO.177 https://www.govinfo.gov/content/pkg/GOVPUB-C13-50e4c1dff3302ac3cc5de7c29c768576/pdf/GOVPUB-C13-50e4c1dff3302ac3cc5de7c29c768576.pdf https://purl.fdlp.gov/GPO/gpo97852
001076157,151019s1993\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925473405, 0247-A (online), C 13.44:178, Speed of sound data and related models for mixtures of natural gas constituents / , NIST monograph ; 178 , https://doi.org/10.6028/NIST.MONO.178 https://www.govinfo.gov/content/pkg/GOVPUB-C13-13e70dcfc549e2b8df469a76f66387d1/pdf/GOVPUB-C13-13e70dcfc549e2b8df469a76f66387d1.pdf https://purl.fdlp.gov/GPO/gpo95233
001076158,151019s1994\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925473330, 0247-A (online), C 13.44:179, The Global equivalence ratio concept and the prediction of carbon monoxide formation in enclosure fires / , NIST monograph ; 179 , https://doi.org/10.6028/NIST.MONO.179 https://www.govinfo.gov/content/pkg/GOVPUB-C13-1dda1899ee1ec7167fd577e4536e7d7b/pdf/GOVPUB-C13-1dda1899ee1ec7167fd577e4536e7d7b.pdf https://purl.fdlp.gov/GPO/gpo95712
