001,008,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
001069192,070501s2005\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)123903898, 0247-D (online), C 13.58:7210, Conformance testing of the government smart card / , NISTIR ; 7210 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-2c685d48d450bd4cbd71ef94bb005b1e/pdf/GOVPUB-C13-2c685d48d450bd4cbd71ef94bb005b1e.pdf https://purl.fdlp.gov/GPO/gpo96199
001069193,070323s2006\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)86118645, 0247-D (online), C 13.58:7346, Studies of biometric fusion / , NISTIR ; 7346 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-2dc295d2ed4e778393e429525b2675e2/pdf/GOVPUB-C13-2dc295d2ed4e778393e429525b2675e2.pdf https://purl.fdlp.gov/GPO/gpo96232
001069195,091208s2009\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)475568095, 0247-D (online), C 13.58:7586, Hypothesis test of fingerprint-image matching algorithms in operational ROC analysis / , NISTIR ; 7586 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-367ee6d5c84e406b4b32ec916edf1a81/pdf/GOVPUB-C13-367ee6d5c84e406b4b32ec916edf1a81.pdf https://purl.fdlp.gov/GPO/gpo96879
001069196,070416s2005\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)123128313, 0247-D (online), C 13.58:7271, The myth of goats :  how many people have fingerprints that are hard to match? /, NISTIR ; 7271 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-37bb065a72282f09dae6b51ebc4d0d51/pdf/GOVPUB-C13-37bb065a72282f09dae6b51ebc4d0d51.pdf https://purl.fdlp.gov/GPO/gpo96683
001069197,070319s2005\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)86071326, 0247-D (online), C 13.58:7223, Semantic mapping between IAI ifcXML and FIATECH AEX models for centrifugal pumps / , NISTIR ; 7223 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-383f9aa5047bb75f9203950692657dcb/pdf/GOVPUB-C13-383f9aa5047bb75f9203950692657dcb.pdf https://purl.fdlp.gov/GPO/gpo96704
001069198,070501s2005\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)123903877, 0247-D (online), C 13.58:7249, Two finger matching with vendor SDK matchers / , NISTIR ; 7249 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-3d59f34098b5c98457aa410c6fcbb234/pdf/GOVPUB-C13-3d59f34098b5c98457aa410c6fcbb234.pdf https://purl.fdlp.gov/GPO/gpo97000
001069199,070501s2005\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)123903850, 0247-D (online), C 13.58:7256," A simulation and gaming architecture for manufacturing research, testing and traning / ", NISTIR ; 7256 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-40e365f0a52c8c10b0b74af430e02f56/pdf/GOVPUB-C13-40e365f0a52c8c10b0b74af430e02f56.pdf https://purl.fdlp.gov/GPO/gpo97102
001069200,070323s2006\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)86119043, 0247-D (online), C 13.58:7336, Influence of concentration and additives on R123/paraffinic material oil boiling heat transfer performance / , NISTIR ; 7336 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-489b90561284b9ea95651b896d6f68ac/pdf/GOVPUB-C13-489b90561284b9ea95651b896d6f68ac.pdf https://purl.fdlp.gov/GPO/gpo97529
001069201,070501s2003\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)123903683, 0247-D (online), C 13.58:7035, Comparison of measured and predicted tracer gas concentrations in a townhouse / , NISTIR ; 7035 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-490ed138f7f659a42871126eec470afc/pdf/GOVPUB-C13-490ed138f7f659a42871126eec470afc.pdf https://purl.fdlp.gov/GPO/gpo97545
001069202,070501s2004\\\\mdua\\\\ob\\\f000\0\eng\d, (OCoLC)123903973, 0247-D (online), C 13.58:7073, Cost-effective responses to terrorist risk in constructed facilities / , NISTIR ; 7073 , https://www.govinfo.gov/content/pkg/GOVPUB-C13-49a19c65c1886391034e1e9cc190151e/pdf/GOVPUB-C13-49a19c65c1886391034e1e9cc190151e.pdf https://purl.fdlp.gov/GPO/gpo97563
