001,008,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
001069132,151030s1981\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168737, 0241 (online), C 13.29/2:134, Determining cost-effective insulation levels for masonry and wood-frame walls in new single-family housing / , NBS building science series ; 134 , https://doi.org/10.6028/NBS.BSS.134 https://www.govinfo.gov/content/pkg/GOVPUB-C13-07e10389dd898c22d2b96a6a03633099/pdf/GOVPUB-C13-07e10389dd898c22d2b96a6a03633099.pdf https://purl.fdlp.gov/GPO/gpo94729
001069133,151030s1981\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168742, 0241 (online), C 13.29/2:135, Energy measurement in the standard penetration test / , NBS building science series ; 135 , https://doi.org/10.6028/NBS.BSS.135 https://www.govinfo.gov/content/pkg/GOVPUB-C13-abd229e77eae948061bdb0dcb43aa4ab/pdf/GOVPUB-C13-abd229e77eae948061bdb0dcb43aa4ab.pdf https://purl.fdlp.gov/GPO/gpo103683
001069134,151030s1981\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168498, 0241 (online), C 13.29/2:136, Organization of building standards :  systematic techniques for scope and arrangement /, NBS building science series ; 136 , https://doi.org/10.6028/NBS.BSS.136 https://www.govinfo.gov/content/pkg/GOVPUB-C13-3b8c8b1abbba06b5b0beffa6eb1d071c/pdf/GOVPUB-C13-3b8c8b1abbba06b5b0beffa6eb1d071c.pdf https://purl.fdlp.gov/GPO/gpo96941
001069135,151030s1982\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168499, 0241 (online), C 13.29/2:137, An Evaluation of thermal energy conservation schemes for an experimental masonry building / , NBS building science series ; 137 , https://doi.org/10.6028/NBS.BSS.137 https://www.govinfo.gov/content/pkg/GOVPUB-C13-da5371b50d7ccff2b363a6bf10c25605/pdf/GOVPUB-C13-da5371b50d7ccff2b363a6bf10c25605.pdf https://purl.fdlp.gov/GPO/gpo103835
001069137,151030s1982\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168749, 0241 (online), C 13.29/2:139, Application of method of characteristics to model the transport of discrete solids in partially-filled pipe flow / , NBS building science series ; 139 , https://doi.org/10.6028/NBS.BSS.139 https://www.govinfo.gov/content/pkg/GOVPUB-C13-2609363cf99272dea92b4e519d6ee6c6/pdf/GOVPUB-C13-2609363cf99272dea92b4e519d6ee6c6.pdf https://purl.fdlp.gov/GPO/gpo95887
001069138,151030s1982\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168750, 0241 (online), C 13.29/2:140, Analytical and experimental analysis of procedures for testing solar domestic hot water systems / , NBS building science series ; 140 , https://doi.org/10.6028/NBS.BSS.140 https://www.govinfo.gov/content/pkg/GOVPUB-C13-24aae242bde7352aa4865676408fb853/pdf/GOVPUB-C13-24aae242bde7352aa4865676408fb853.pdf https://purl.fdlp.gov/GPO/gpo95858
001069139,151030s1982\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168751, 0241 (online), C 13.29/2:141, The development and evaluation of effective symbol signs / , NBS building science series ; 141 , https://doi.org/10.6028/NBS.BSS.141 https://www.govinfo.gov/content/pkg/GOVPUB-C13-44543cb0c4a466327ffd2e420fe38f67/pdf/GOVPUB-C13-44543cb0c4a466327ffd2e420fe38f67.pdf https://purl.fdlp.gov/GPO/gpo97221
001069140,151030s1982\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168596, 0241 (online), C 13.29/2:142, Load-displacement characteristics of shallow soil anchors / , NBS building science series ; 142 , https://doi.org/10.6028/NBS.BSS.142 https://www.govinfo.gov/content/pkg/GOVPUB-C13-8582f12c59c75da781f1ded36386a0e4/pdf/GOVPUB-C13-8582f12c59c75da781f1ded36386a0e4.pdf https://purl.fdlp.gov/GPO/gpo103551
001069141,151030s1982\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168752, 0241 (online), C 13.29/2:143, Investigation of the Kansas City Hyatt Regency walkways collapse / , NBS building science series ; 143 , https://doi.org/10.6028/NBS.BSS.143 https://www.govinfo.gov/content/pkg/GOVPUB-C13-0c95f92259fe465603b9e8028b7be989/pdf/GOVPUB-C13-0c95f92259fe465603b9e8028b7be989.pdf https://purl.fdlp.gov/GPO/gpo94897
001069142,151030s1982\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168373, 0241 (online), C 13.29/2:144, Optimal weatherization of low-income housing in the U.S. / , NBS building science series ; 144 , https://doi.org/10.6028/NBS.BSS.144 https://www.govinfo.gov/content/pkg/GOVPUB-C13-98cce82919164f15b3c7f30f84cd7102/pdf/GOVPUB-C13-98cce82919164f15b3c7f30f84cd7102.pdf https://purl.fdlp.gov/GPO/gpo100977
001069143,151030s1982\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168754, 0241 (online), C 13.29/2:145," Investigation of construction failure of Harbour Cay Condominium in Cocoa Beach, Florida / ", NBS building science series ; 145 , https://doi.org/10.6028/NBS.BSS.145 https://www.govinfo.gov/content/pkg/GOVPUB-C13-ceefee8ac748574856d8ae9ea1cf2d70/pdf/GOVPUB-C13-ceefee8ac748574856d8ae9ea1cf2d70.pdf https://purl.fdlp.gov/GPO/gpo103161
001069144,151030s1983\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168755, 0241 (online), C 13.29/2:146, Evaluation of construction loads in multistory concrete buildings / , NBS building science series ; 146 , https://doi.org/10.6028/NBS.BSS.146 https://www.govinfo.gov/content/pkg/GOVPUB-C13-260f816db28867f0de4f4cfa647563d3/pdf/GOVPUB-C13-260f816db28867f0de4f4cfa647563d3.pdf https://purl.fdlp.gov/GPO/gpo95891
001069146,151030s1982\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168598, 0241 (online), C 13.29/2:148," Investigation of construction failure of reinforced concrete cooling tower at Willow Island, WV / ", NBS building science series ; 148 , https://doi.org/10.6028/NBS.BSS.148 https://www.govinfo.gov/content/pkg/GOVPUB-C13-4919aa775e975a6cdcc27c7f2a1a0d84/pdf/GOVPUB-C13-4919aa775e975a6cdcc27c7f2a1a0d84.pdf https://purl.fdlp.gov/GPO/gpo97548
001069147,151030s1982\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168599, 0241 (online), C 13.29/2:149, Thermal behavior of fine-grained soils / , NBS building science series ; 149 , https://doi.org/10.6028/NBS.BSS.149 https://www.govinfo.gov/content/pkg/GOVPUB-C13-2656c9f06975428cc744b9555c30b2fa/pdf/GOVPUB-C13-2656c9f06975428cc744b9555c30b2fa.pdf https://purl.fdlp.gov/GPO/gpo95899
001069148,151030s1983\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927168739, 0241 (online), C 13.29/2:150, Low-voltage room thermostat / , NBS building science series ; 150 , https://doi.org/10.6028/NBS.BSS.150 https://www.govinfo.gov/content/pkg/GOVPUB-C13-21baed26e75e03d5c70791e135b4660f/pdf/GOVPUB-C13-21baed26e75e03d5c70791e135b4660f.pdf https://purl.fdlp.gov/GPO/gpo95965
