001,008,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
001079061,160518s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)949907529, 0247-H (online), C 13.57/2:15-917-35, Development of standardized cooking fires for evaluation of prevention technologies :  phase one data analysis /, NIST GCR ;  15-917-35. , https://doi.org/10.6028/NIST.GCR.15-917-35 https://www.govinfo.gov/content/pkg/GOVPUB-C13-ee00488aa9bbe57940651a70f0b19f71/pdf/GOVPUB-C13-ee00488aa9bbe57940651a70f0b19f71.pdf https://purl.fdlp.gov/GPO/gpo104702
001079062,160518s2014\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)949907530, 0247-H (online), C 13.57/2:15-917-36, Development of standardized cooking fires for evaluation of prevention technologies :  data analysis /, NIST GCR ;  15-917-36. , https://doi.org/10.6028/NIST.GCR.15-917-36 https://www.govinfo.gov/content/pkg/GOVPUB-C13-aca22e6cf3b9c0d8679964e84aa02a76/pdf/GOVPUB-C13-aca22e6cf3b9c0d8679964e84aa02a76.pdf https://purl.fdlp.gov/GPO/gpo101739
001079063,160518s2015\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)949907531, 0247-H (online), C 13.57/2:15-917-37, International Resilience Symposium :  understanding standards for communities and built infrastructure resilience /, NIST GCR ;  15-917-37. , https://doi.org/10.6028/NIST.GCR.15-917-37 https://www.govinfo.gov/content/pkg/GOVPUB-C13-fc6bf4fd059ff823540ae0e9a7c07275/pdf/GOVPUB-C13-fc6bf4fd059ff823540ae0e9a7c07275.pdf https://purl.fdlp.gov/GPO/gpo105288
001079064,160518s2015\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)949907532, 0247-H (online), C 13.57/2:15-981," Community resilience workshop October 27-28, 2014 / ", NIST GCR ;  15-981. , https://doi.org/10.6028/NIST.GCR.15-981 https://www.govinfo.gov/content/pkg/GOVPUB-C13-d8d7bb13a507a23ca23edf651c81e650/pdf/GOVPUB-C13-d8d7bb13a507a23ca23edf651c81e650.pdf https://purl.fdlp.gov/GPO/gpo103785
001079065,160518s2015\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)949907533, 0247-H (online), C 13.57/2:15-982, NIST WUI project :  MLB SUPERBAT unmanned aerial vehicle system user manual /, NIST GCR ;  15-982. , https://doi.org/10.6028/NIST.GCR.15-982 https://www.govinfo.gov/content/pkg/GOVPUB-C13-a623c1c45217738f3ca057ebc84b5763/pdf/GOVPUB-C13-a623c1c45217738f3ca057ebc84b5763.pdf https://purl.fdlp.gov/GPO/gpo101483
001079066,160518s2015\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)949907534, 0247-H (online), C 13.57/2:15-993," Community resilience workshop February 18-19, 2015 / ", NIST GCR ;  15-993. , https://doi.org/10.6028/NIST.GCR.15-993 https://www.govinfo.gov/content/pkg/GOVPUB-C13-174eea8d00e34d5ad6bf6b3e4636050f/pdf/GOVPUB-C13-174eea8d00e34d5ad6bf6b3e4636050f.pdf https://purl.fdlp.gov/GPO/gpo95321
001079067,160518s2015\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)949907535, 0247-H (online), C 13.57/2:15-994," Community resilience workshop :  release of draft community resilience planning guide for public comment April 27, 2015 /", NIST GCR ;  15-994. , https://doi.org/10.6028/NIST.GCR.15-994 https://www.govinfo.gov/content/pkg/GOVPUB-C13-068d451e1f0d6652941b1341f8358c69/pdf/GOVPUB-C13-068d451e1f0d6652941b1341f8358c69.pdf https://purl.fdlp.gov/GPO/gpo94638
001079068,160518s2015\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)949907536, 0247-H (online), C 13.57/2:15-996, Technical basis for user interface design of health IT / , NIST GCR ;  15-996. , https://doi.org/10.6028/NIST.GCR.15-996 https://www.govinfo.gov/content/pkg/GOVPUB-C13-218667669d4b24235d3d0e2e8b94879c/pdf/GOVPUB-C13-218667669d4b24235d3d0e2e8b94879c.pdf https://purl.fdlp.gov/GPO/gpo95797
001079069,160525s2015\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)950543774, 0247-H (online), C 13.57/2:15-1001, The economic impacts of early stage consensus standards development :  a case study of nanotechnology documentary standards /, NIST GCR ;  15-1001. , https://doi.org/10.6028/NIST.GCR.15-1001 https://www.govinfo.gov/content/pkg/GOVPUB-C13-566ac9bbf4f7324af5dce90d7a5c23e7/pdf/GOVPUB-C13-566ac9bbf4f7324af5dce90d7a5c23e7.pdf https://purl.fdlp.gov/GPO/gpo98051
001079070,160525s2015\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)950543775, 0247-H (online), C 13.57/2:15-1009, Investigating the impact of standards-based interoperability for design to manufacturing and quality in the supply chain / , NIST GCR ;  15-1009. , https://doi.org/10.6028/NIST.GCR.15-1009 https://www.govinfo.gov/content/pkg/GOVPUB-C13-3f35afcb06096ef22d54047f6c665deb/pdf/GOVPUB-C13-3f35afcb06096ef22d54047f6c665deb.pdf https://purl.fdlp.gov/GPO/gpo97050
001079071,160525s2016\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)950543776, 0247-H (online), C 13.57/2:16-001, A conceptual framework for assessing resilience at the community scale / , NIST GCR ;  16-001. , https://doi.org/10.6028/NIST.GCR.16-001 https://www.govinfo.gov/content/pkg/GOVPUB-C13-e831b7ab8a8433ac9b70c504da8b57fa/pdf/GOVPUB-C13-e831b7ab8a8433ac9b70c504da8b57fa.pdf https://purl.fdlp.gov/GPO/gpo104472
001079072,160921s2016\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)958885747, 0247-H (online), C 13.57/2:16-002, Case studies of community resilience policy / , NIST GCR ;  16-002. , https://doi.org/10.6028/NIST.GCR.16-002 https://www.govinfo.gov/content/pkg/GOVPUB-C13-5371019e7595f39d3b5f9730430ed811/pdf/GOVPUB-C13-5371019e7595f39d3b5f9730430ed811.pdf https://purl.fdlp.gov/GPO/gpo97943
001079073,160921s2016\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)958885839, 0247-H (online), C 13.57/2:16-917-40, Seismic design of reinforced concrete special moment frames :  a guide for practicing engineers, NIST GCR ;  16-917-40. , https://doi.org/10.6028/NIST.GCR.16-917-40 https://www.govinfo.gov/content/pkg/GOVPUB-C13-737a906645f95b187322cd64c8033369/pdf/GOVPUB-C13-737a906645f95b187322cd64c8033369.pdf https://purl.fdlp.gov/GPO/gpo99316
001079074,160921s2016\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)958885847, 0247-H (online), C 13.57/2:16-917-39, Critical assesment of lifeline system performance :  understanding societal needs in disaster recovery /, NIST GCR ;  16-917-39. , https://doi.org/10.6028/NIST.GCR.16-917-39 https://www.govinfo.gov/content/pkg/GOVPUB-C13-0651206f0d585984dbed407ba732d406/pdf/GOVPUB-C13-0651206f0d585984dbed407ba732d406.pdf https://purl.fdlp.gov/GPO/gpo94518
001079075,160921s2016\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)958885848, 0247-H (online), C 13.57/2:16-917-41, Seismic design of steel special moment frames :  a guide for practicing engineers, NIST GCR ;  16-917-41. , https://doi.org/10.6028/NIST.GCR.16-917-41 https://www.govinfo.gov/content/pkg/GOVPUB-C13-28b9adb069590c8b41534fe717f177eb/pdf/GOVPUB-C13-28b9adb069590c8b41534fe717f177eb.pdf https://purl.fdlp.gov/GPO/gpo96097
001079076,161006s2015\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)959982378, 0247-H (online), C 13.57/2:16-003, Validation for downstream computer aided manufacturing and coordinate metrology processes / , NIST GCR ;  16-003. , https://doi.org/10.6028/NIST.GCR.16-003 https://www.govinfo.gov/content/pkg/GOVPUB-C13-ef1c76203cc72bf16b5a9ca9aac10864/pdf/GOVPUB-C13-ef1c76203cc72bf16b5a9ca9aac10864.pdf https://purl.fdlp.gov/GPO/gpo104749
