001,008,035$a,074$a,086$a,245,830,856$u
"001074086","151026s1932\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731698","0247 (online)","C 13.10:133","Standards yearbook 1932 /George K. Burgess.","Miscellaneous publications (United States. Bureau of Standards) ;133.","https://doi.org/10.6028/NBS.MP.133;https://www.govinfo.gov/content/pkg/GOVPUB-C13-a45fee6c8946f9e2e1eb73231950e354/pdf/GOVPUB-C13-a45fee6c8946f9e2e1eb73231950e354.pdf;https://purl.fdlp.gov/GPO/gpo101409"
"001074087","151026s1933\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731575","0247 (online)","C 13.10:139","Standards yearbook 1933 /George K. Burgess.","Miscellaneous publications (United States. Bureau of Standards) ;139.","https://doi.org/10.6028/NBS.MP.139;https://www.govinfo.gov/content/pkg/GOVPUB-C13-04f61a39f131423e7ff4eb3f84aa5e96/pdf/GOVPUB-C13-04f61a39f131423e7ff4eb3f84aa5e96.pdf;https://purl.fdlp.gov/GPO/gpo94593"
"001074095","151026s1929\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731409","0247 (online)","C 13.10:94","Scientific and technical positons in the National Bureau of Standards /William C. Fewell.","Miscellaneous publications (United States. Bureau of Standards) ;94.","https://doi.org/10.6028/NBS.MP.94;https://www.govinfo.gov/content/pkg/GOVPUB-C13-4c84d50bca501fc35e670c17b0fe4ecb/pdf/GOVPUB-C13-4c84d50bca501fc35e670c17b0fe4ecb.pdf;https://purl.fdlp.gov/GPO/gpo97678"
"001074103","151026s1929\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731652","0247 (online)","C 13.10:85","Specifications and tolerances for commercial weighing and measuring devices /F. S. Holbrook.","Miscellaneous publications (United States. Bureau of Standards) ;85.","https://doi.org/10.6028/NBS.MP.85;https://www.govinfo.gov/content/pkg/GOVPUB-C13-45fbf6f94f06ff4b0647ad979e45d43f/pdf/GOVPUB-C13-45fbf6f94f06ff4b0647ad979e45d43f.pdf;https://purl.fdlp.gov/GPO/gpo97286"
"001074131","151026s1912\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731751","0247 (online)","C 13.10:20-2","State and national laws concerning the weights and measures of the United States (second edition) /William Parry.","Miscellaneous publications (United States. Bureau of Standards) ;20-2.","https://doi.org/10.6028/NBS.MP.20-2;https://www.govinfo.gov/content/pkg/GOVPUB-C13-efcfc4b758e7c18622f48a4d8b52718a/pdf/GOVPUB-C13-efcfc4b758e7c18622f48a4d8b52718a.pdf;https://purl.fdlp.gov/GPO/gpo104779"
"001074132","151026s1926\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731752","0247 (online)","C 13.10:20-3","Federal and state laws relating to weights and measures (third edition) /William Parry.","Miscellaneous publications (United States. Bureau of Standards) ;20-3.","https://doi.org/10.6028/NBS.MP.20-3;https://www.govinfo.gov/content/pkg/GOVPUB-C13-7be8373e920ea3d0a037e257c1ab9dd9/pdf/GOVPUB-C13-7be8373e920ea3d0a037e257c1ab9dd9.pdf;https://purl.fdlp.gov/GPO/gpo99667"
"001074168","151026s1906\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731826","0247 (online)","C 13.10:2","The international metric system of weights and measures /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;2.","https://doi.org/10.6028/NBS.MP.2;https://www.govinfo.gov/content/pkg/GOVPUB-C13-428686df3805a354647bb616f6f7e6b6/pdf/GOVPUB-C13-428686df3805a354647bb616f6f7e6b6.pdf;https://purl.fdlp.gov/GPO/gpo97152"
"001074169","151026s1911\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731927","0247 (online)","C 13.10:3","Bureau of Standards international metric system (chart) /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;3.","https://doi.org/10.6028/NBS.MP.3;https://www.govinfo.gov/content/pkg/GOVPUB-C13-712a1fcc3a4a7d4804f928a18490f639/pdf/GOVPUB-C13-712a1fcc3a4a7d4804f928a18490f639.pdf;https://purl.fdlp.gov/GPO/gpo99243"
"001074170","151026s1905\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731787","0247 (online)","C 13.10:4","Conference on the weights and measures of the United States /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;4.","https://doi.org/10.6028/NBS.MP.4;https://www.govinfo.gov/content/pkg/GOVPUB-C13-99844b06e194f5892fe86411c0c325ee/pdf/GOVPUB-C13-99844b06e194f5892fe86411c0c325ee.pdf;https://purl.fdlp.gov/GPO/gpo101000"
"001074171","151026s1906\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732005","0247 (online)","C 13.10:5","Second annual conference on the weights and measures of the United States /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;5.","https://doi.org/10.6028/NBS.MP.5;https://www.govinfo.gov/content/pkg/GOVPUB-C13-5785bb82a3b8123833335d85e1ad2502/pdf/GOVPUB-C13-5785bb82a3b8123833335d85e1ad2502.pdf;https://purl.fdlp.gov/GPO/gpo98088"
"001074172","151026s1910\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732012","0247 (online)","C 13.10:6","Third annual conference on the weights and measures of the United States /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;6.","https://doi.org/10.6028/NBS.MP.6;https://www.govinfo.gov/content/pkg/GOVPUB-C13-f5d3fc1b12c8119c62705910d20ec4b8/pdf/GOVPUB-C13-f5d3fc1b12c8119c62705910d20ec4b8.pdf;https://purl.fdlp.gov/GPO/gpo105017"
"001074173","151026s1910\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732006","0247 (online)","C 13.10:7","Weights and measures fourth annual conference /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;7.","https://doi.org/10.6028/NBS.MP.7;https://www.govinfo.gov/content/pkg/GOVPUB-C13-7f777ed7e8cb5e47cb0587fd99bc52e5/pdf/GOVPUB-C13-7f777ed7e8cb5e47cb0587fd99bc52e5.pdf;https://purl.fdlp.gov/GPO/gpo99797"
"001074174","151026s1911\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732019","0247 (online)","C 13.10:8","Weights and measures fifth annual conference /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;8.","https://doi.org/10.6028/NBS.MP.8;https://www.govinfo.gov/content/pkg/GOVPUB-C13-402c0565c77218747158e3b47f00c987/pdf/GOVPUB-C13-402c0565c77218747158e3b47f00c987.pdf;https://purl.fdlp.gov/GPO/gpo97403"
"001074175","151026s1912\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732020","0247 (online)","C 13.10:9","Weights and measures sixth annual conference /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;9.","https://doi.org/10.6028/NBS.MP.9;https://www.govinfo.gov/content/pkg/GOVPUB-C13-665364cccfe409c5eceb91357c11d5b3/pdf/GOVPUB-C13-665364cccfe409c5eceb91357c11d5b3.pdf;https://purl.fdlp.gov/GPO/gpo98803"
"001074176","151026s1912\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731931","0247 (online)","C 13.10:10","Weights and measures seventh annual conference /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;10.","https://doi.org/10.6028/NBS.MP.10;https://www.govinfo.gov/content/pkg/GOVPUB-C13-86d43e487bcbd60939a9e3301e1837fc/pdf/GOVPUB-C13-86d43e487bcbd60939a9e3301e1837fc.pdf;https://purl.fdlp.gov/GPO/gpo100267"
"001074177","151026s1914\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731952","0247 (online)","C 13.10:11","Weights and measures eighth annual conference /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;11.","https://doi.org/10.6028/NBS.MP.11;https://www.govinfo.gov/content/pkg/GOVPUB-C13-c362e7dc38fc50413a278ac8a98ce399/pdf/GOVPUB-C13-c362e7dc38fc50413a278ac8a98ce399.pdf;https://purl.fdlp.gov/GPO/gpo102685"
"001074178","151026s1915\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732022","0247 (online)","C 13.10:12","Weights and measures ninth annual conference /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;12.","https://doi.org/10.6028/NBS.MP.12;https://www.govinfo.gov/content/pkg/GOVPUB-C13-6ef400e769e6e65b028e5b3fafe84f57/pdf/GOVPUB-C13-6ef400e769e6e65b028e5b3fafe84f57.pdf;https://purl.fdlp.gov/GPO/gpo99134"
"001074179","151026s1916\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732023","0247 (online)","C 13.10:13","Weights and measures tenth annual conference /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;13.","https://doi.org/10.6028/NBS.MP.13;https://www.govinfo.gov/content/pkg/GOVPUB-C13-5c17266ab435b81333b2c6c358c93706/pdf/GOVPUB-C13-5c17266ab435b81333b2c6c358c93706.pdf;https://purl.fdlp.gov/GPO/gpo100007"
