001,008,035$a,074$a,086$a,245,830,856$u
"001074238","151026s1928\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732240","0247 (online)","C 13.10:80","Report of the twentieth national conference on weights and measures /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;80.","https://doi.org/10.6028/NBS.MP.80;https://www.govinfo.gov/content/pkg/GOVPUB-C13-55964229c91b0cb695c14763b8033b3a/pdf/GOVPUB-C13-55964229c91b0cb695c14763b8033b3a.pdf;https://purl.fdlp.gov/GPO/gpo98023"
"001074240","151026s1927\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732270","0247 (online)","C 13.10:82","Standard atmosphere chart (supersedes M 78) /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;82.","https://doi.org/10.6028/NBS.MP.82;https://www.govinfo.gov/content/pkg/GOVPUB-C13-5e952be9735192e13af90099d334c26e/pdf/GOVPUB-C13-5e952be9735192e13af90099d334c26e.pdf;https://purl.fdlp.gov/GPO/gpo98516"
"001074241","151026s1928\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732272","0247 (online)","C 13.10:84","Standard time conversion chart /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;84.","https://doi.org/10.6028/NBS.MP.84;https://www.govinfo.gov/content/pkg/GOVPUB-C13-5d9ec4090e36091eabe29348af2f98b8/pdf/GOVPUB-C13-5d9ec4090e36091eabe29348af2f98b8.pdf;https://purl.fdlp.gov/GPO/gpo98471"
"001074242","151026s1928\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732244","0247 (online)","C 13.10:87","Report of the twenty-first national conference on weights and measures /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;87.","https://doi.org/10.6028/NBS.MP.87;https://www.govinfo.gov/content/pkg/GOVPUB-C13-c74a25a8bbefc198ac8247bece762350/pdf/GOVPUB-C13-c74a25a8bbefc198ac8247bece762350.pdf;https://purl.fdlp.gov/GPO/gpo102849"
"001074244","151026s1929\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732279","0247 (online)","C 13.10:89","Report of the National Screw Thread Commission /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;89.","https://doi.org/10.6028/NBS.MP.89;https://www.govinfo.gov/content/pkg/GOVPUB-C13-fe2d83f32c7ce5613e947331f0221c3b/pdf/GOVPUB-C13-fe2d83f32c7ce5613e947331f0221c3b.pdf;https://purl.fdlp.gov/GPO/gpo105348"
"001074245","151026s1927\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732280","0247 (online)","C 13.10:90","Directory of commercial testing and college research laboratories /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;90.","https://doi.org/10.6028/NBS.MP.90;https://www.govinfo.gov/content/pkg/GOVPUB-C13-1e1caeef41d8415ab61870eebe41444d/pdf/GOVPUB-C13-1e1caeef41d8415ab61870eebe41444d.pdf;https://purl.fdlp.gov/GPO/gpo95582"
"001074246","151026s1929\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732281","0247 (online)","C 13.10:92","Code for protection against lightning /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;92.","https://doi.org/10.6028/NBS.MP.92;https://www.govinfo.gov/content/pkg/GOVPUB-C13-cbf58446041301182fc1dc1c40adb1e1/pdf/GOVPUB-C13-cbf58446041301182fc1dc1c40adb1e1.pdf;https://purl.fdlp.gov/GPO/gpo103052"
"001074247","151026s1929\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732282","0247 (online)","C 13.10:93","Visitors' manual of the National Bureau of Standards /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;93.","https://doi.org/10.6028/NBS.MP.93;https://www.govinfo.gov/content/pkg/GOVPUB-C13-211845ffe604594364f534806a45295c/pdf/GOVPUB-C13-211845ffe604594364f534806a45295c.pdf;https://purl.fdlp.gov/GPO/gpo95950"
"001074248","151026s1929\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732163","0247 (online)","C 13.10:95","Protection of electrical circuits and equipment against lightning /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;95.","https://doi.org/10.6028/NBS.MP.95;https://www.govinfo.gov/content/pkg/GOVPUB-C13-5b1af739e573d37f03f1ea720d8038a3/pdf/GOVPUB-C13-5b1af739e573d37f03f1ea720d8038a3.pdf;https://purl.fdlp.gov/GPO/gpo98358"
"001074252","151026s1929\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732258","0247 (online)","C 13.10:101","Report of the twenty-second national conference on weights and measures /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;101.","https://doi.org/10.6028/NBS.MP.101;https://www.govinfo.gov/content/pkg/GOVPUB-C13-1ef75bf9b876d85cc9c4e3f84dffab32/pdf/GOVPUB-C13-1ef75bf9b876d85cc9c4e3f84dffab32.pdf;https://purl.fdlp.gov/GPO/gpo95736"
"001074254","151026s1930\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732184","0247 (online)","C 13.10:105","Certification plan significance and scope /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;105.","https://doi.org/10.6028/NBS.MP.105;https://www.govinfo.gov/content/pkg/GOVPUB-C13-0863e7b8a9858d31ee5675b996dec496/pdf/GOVPUB-C13-0863e7b8a9858d31ee5675b996dec496.pdf;https://purl.fdlp.gov/GPO/gpo94676"
"001074255","151026s1930\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732186","0247 (online)","C 13.10:107","Safety code for brakes and brake testing /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;107.","https://doi.org/10.6028/NBS.MP.107;https://www.govinfo.gov/content/pkg/GOVPUB-C13-057b509c9bc2552d374427160be40401/pdf/GOVPUB-C13-057b509c9bc2552d374427160be40401.pdf;https://purl.fdlp.gov/GPO/gpo94674"
"001074256","151026s1930\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732334","0247 (online)","C 13.10:108","Manufacture and properties of a cellulose product (maizolith) from cornstalks and corncobs /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;108.","https://doi.org/10.6028/NBS.MP.108;https://www.govinfo.gov/content/pkg/GOVPUB-C13-6c18d10d15c3569d9e1d2fd1c973f411/pdf/GOVPUB-C13-6c18d10d15c3569d9e1d2fd1c973f411.pdf;https://purl.fdlp.gov/GPO/gpo99027"
"001074257","151026s1930\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732335","0247 (online)","C 13.10:109","Chart for determining the helix angles of screw threads /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;109.","https://doi.org/10.6028/NBS.MP.109;https://www.govinfo.gov/content/pkg/GOVPUB-C13-6fcba6bba1100f91ae6a5d8931b69b86/pdf/GOVPUB-C13-6fcba6bba1100f91ae6a5d8931b69b86.pdf;https://purl.fdlp.gov/GPO/gpo99179"
"001074258","151026s1930\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732342","0247 (online)","C 13.10:110","Standards and specifications for nonmetallic minerals and their products /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;110.","https://doi.org/10.6028/NBS.MP.110;https://www.govinfo.gov/content/pkg/GOVPUB-C13-74974913e6041eb88558abe86da98803/pdf/GOVPUB-C13-74974913e6041eb88558abe86da98803.pdf;https://purl.fdlp.gov/GPO/gpo99362"
"001074261","151026s1931\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732350","0247 (online)","C 13.10:116","Report of the twenty-third national conference on weights and measures /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;116.","https://doi.org/10.6028/NBS.MP.116;https://www.govinfo.gov/content/pkg/GOVPUB-C13-ada69d77085df70e1f02eb9457027570/pdf/GOVPUB-C13-ada69d77085df70e1f02eb9457027570.pdf;https://purl.fdlp.gov/GPO/gpo101787"
"001074264","151026s1931\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732359","0247 (online)","C 13.10:129","Report of the twenty-fourth national conference on weights and measures /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards) ;129.","https://doi.org/10.6028/NBS.MP.129;https://www.govinfo.gov/content/pkg/GOVPUB-C13-1f34176bcbe58ed2e1005e60a8541ad1/pdf/GOVPUB-C13-1f34176bcbe58ed2e1005e60a8541ad1.pdf;https://purl.fdlp.gov/GPO/gpo95615"
"001075942","160121s1926\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)935502014","0247 (online)","C 13.10:70","Weights and measures eighteenth national conference /National Bureau of Standard.","Miscellaneous publications (United States. Bureau of Standards) ;70.","https://doi.org/10.6028/NBS.MP.70;https://www.govinfo.gov/content/pkg/GOVPUB-C13-f69121a5c3d7487508b959675da5da07/pdf/GOVPUB-C13-f69121a5c3d7487508b959675da5da07.pdf;https://purl.fdlp.gov/GPO/gpo105047"
"001116360","100326s1931\\\\dcu\\\\\ob\\\f000\0\eng\d","(OCoLC)575839696","0247 (online)","C 13.10:128","A survey of storage conditions in libraries relative to the preservation of recordsby Arthur E. Kimberly [and] J.F.G. Hicks, Jr.","Miscellaneous publications (United States. Bureau of Standards) ;128.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-171e6212e6c784785d8eb832bffb0c3c/pdf/GOVPUB-C13-171e6212e6c784785d8eb832bffb0c3c.pdf;https://purl.fdlp.gov/GPO/gpo95413"
"001116362","100325s1934\\\\dcu\\\\\o\\\\\000\0\eng\d","(OCoLC)578331701","0247 (online)","C 13.10:144","Summary report of Bureau of Standards research on preservation of recordsBy A.E. Kimberly and B.W. Scribner.","Miscellaneous publications (United States. Bureau of Standards) ;144.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-adf6a3aa07b2b1ddaf99b9cbee3103ab/pdf/GOVPUB-C13-adf6a3aa07b2b1ddaf99b9cbee3103ab.pdf;https://purl.fdlp.gov/GPO/gpo101795"
"001116370","101111s1933\\\\dcuadef\o\\\\f001\0\eng\d","(OCoLC)681046043","0247 (online)","C 13.10:120","Standards and specifications for metals and metal productsNationally recognized standards and specifications for ores, metals, and manufactures except machinery, vehicles, and electrical supplies.Prepared by George A. Wardlaw, under the direction of A.S. McAllister, chief of the Division of specifications.","Miscellaneous publications (United States. Bureau of Standards) ;120.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-7c14e4a094ac434556b5b6e26cefada0/pdf/GOVPUB-C13-7c14e4a094ac434556b5b6e26cefada0.pdf;https://purl.fdlp.gov/GPO/gpo99671"
"001116371","101115s1921\\\\dcua\\\\o\\\\\000\0\eng\d","(OCoLC)681512238","0247 (online)","C 13.10:42","Progress report of the National screw thread commission /(authorized by Congress, July 18, 1918, H.R. 10852) as approved June 19, 1920. January 4, 1921 ...","Miscellaneous publications (United States. Bureau of Standards) ;42.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-ad6e50706050b71202040ad8fadfe95c/pdf/GOVPUB-C13-ad6e50706050b71202040ad8fadfe95c.pdf;https://purl.fdlp.gov/GPO/gpo101778"
"001116374","111111r1920uuuudcua\\\\o\\\\f000\0\eng\d","(OCoLC)760775447","0247 (online)","C 13.10:45","Buying commodities by weight or measure[Extracts adapted from Bureau of Standards Circular no. 55, Measurements for the household] December 9, 1920 ...","Miscellaneous publications (United States. Bureau of Standards) ;45.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-2827dfe2905c5dcfbae817cb4ff7b141/pdf/GOVPUB-C13-2827dfe2905c5dcfbae817cb4ff7b141.pdf;https://purl.fdlp.gov/GPO/gpo96330"
"001116379","111123s1918\\\\dcua\\\\o\\\\f000\0\eng\d","(OCoLC)762294173","0247 (online)","C 13.10:1","Manual of inspection and information for weights and measures officials.","Miscellaneous publications (United States. Bureau of Standards) ;1.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-9e0ad6c7a06e0c737b2bde4838271a26/pdf/GOVPUB-C13-9e0ad6c7a06e0c737b2bde4838271a26.pdf;https://purl.fdlp.gov/GPO/gpo101160"
"001116385","120518s1931\\\\dcuaf\\\ob\\\f000\0\eng\d","(OCoLC)793937444","0247 (online)","C 13.10:114","Filters for the reproduction of sunlight and daylight and the determination of color temperatureby Raymond Davis [and] K.S. Gibson. January 21, 1931.","Miscellaneous publications (United States. Bureau of Standards) ;114.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-8ffb7649afed8a1299e4a2fbcfe9a586/pdf/GOVPUB-C13-8ffb7649afed8a1299e4a2fbcfe9a586.pdf;https://purl.fdlp.gov/GPO/gpo100624"
"001116386","120909s1918\\\\dcuaf\\\o\\\\f100\0\eng\d","(OCoLC)809514581","0247 (online)","C 13.10:19","Proceedings of the second annual textile conference :held at the Bureau of Standards, Washington, May 21-22, 1917.","Miscellaneous publications (United States. Bureau of Standards) ;19.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-54930b97f8ea7faf4820573a824e9d95/pdf/GOVPUB-C13-54930b97f8ea7faf4820573a824e9d95.pdf;https://purl.fdlp.gov/GPO/gpo97981"
"001116389","130710s1930\\\\dcua\\\\ob\\\\000\0\eng\d","(OCoLC)852668683","0247 (online)","C 13.10:104","Testing equipment for large-capacity scales for the use of weights and measures officials /prepared and assembled by Ralph W. Smith.","Miscellaneous publications (United States. Bureau of Standards) ;104.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-9496cfcac5426353f38f92116664f250/pdf/GOVPUB-C13-9496cfcac5426353f38f92116664f250.pdf;https://purl.fdlp.gov/GPO/gpo100798"
"001116395","130713s1931\\\\dcua\\\\ob\\\f000\0\eng\d","(OCoLC)852766879","0247 (online)","C 13.10:132","Properties of fiber building boards /by C.G. Weber, F.T. Carson [and] L.W. Snyder.","Miscellaneous publications (United States. Bureau of Standards) ;132.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-83d8df351c1a3c3626cfaf97f733f88d/pdf/GOVPUB-C13-83d8df351c1a3c3626cfaf97f733f88d.pdf;https://purl.fdlp.gov/GPO/gpo99970"
"001116401","130713s1930\\\\dcu\\\\\ob\\\f000\0\eng\d","(OCoLC)852766907","0247 (online)","C 13.10:117","Units used to express the wave lengths of electromagnetic waves /by Henry D. Hubbard.","Miscellaneous publications (United States. Bureau of Standards) ;117.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-06bdbb7e13a283df3f8e1b9f4a246441/pdf/GOVPUB-C13-06bdbb7e13a283df3f8e1b9f4a246441.pdf;https://purl.fdlp.gov/GPO/gpo94675"
"001116402","130713s1930\\\\dcuaf\\\ob\\\f000\0\eng\d","(OCoLC)852766913","0247 (online)","C 13.10:112","Manufacture of insulating board from cornstalksby O.R. Sweeney [and] W.E. Emley, October 18, 1930.","Miscellaneous publications (United States. Bureau of Standards) ;112.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-d71531c0106e39df17b5cdae885f0545/pdf/GOVPUB-C13-d71531c0106e39df17b5cdae885f0545.pdf;https://purl.fdlp.gov/GPO/gpo103494"
"001116404","130713s1918\\\\dcua\\\\o\\\\f000\0\eng\d","(OCoLC)852766930","0247 (online)","C 13.10:21","Metric manual for soldiers ...","Miscellaneous publications (United States. Bureau of Standards) ;21.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-fcaa399861a2cf35e1af22a6f23dac2b/pdf/GOVPUB-C13-fcaa399861a2cf35e1af22a6f23dac2b.pdf;https://purl.fdlp.gov/GPO/gpo105299"
"001116405","130713s1921\\\\dcuf\\\\o\\\\f000\0\eng\d","(OCoLC)852766937","0247 (online)","C 13.10:46","War work of the Bureau of standards :April 1, 1921.","Miscellaneous publications (United States. Bureau of Standards) ;46.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-dddfbbf3926c14eddc845427ebed17c9/pdf/GOVPUB-C13-dddfbbf3926c14eddc845427ebed17c9.pdf;https://purl.fdlp.gov/GPO/gpo104022"
"001116408","130713s1945\\\\dcua\\\\ob\\\f000\0\eng\d","(OCoLC)852766954","0247 (online)","C 13.10:181","Jar rings for use in home canningtheir testing and a proposed specification,by Rolla H. Taylor, Helen G. Wheeler, and Frances Benedict. Issued August 29, 1945.","Miscellaneous publications (United States. Bureau of Standards) ;181.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-1b1e68b9701d18c32b67ea447a4106ea/pdf/GOVPUB-C13-1b1e68b9701d18c32b67ea447a4106ea.pdf;https://purl.fdlp.gov/GPO/gpo95653"
"001116414","140802s1930\\\\dcu\\\\\oi\\\f000\0\eng\d","(OCoLC)885132729","0247 (online)","C 13.10:103","Weights and measures referencesincluding an index to the reports of the National Conference on Weights and Measures from the first to the twenty-first, inclusive.Comp. by Ralph W. Smith, senior engineer. October, 1929. Issued January 23, 1930.","Miscellaneous publications (United States. Bureau of Standards) ;103.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-75378be44a1546b7077102eb2fe91b4a/pdf/GOVPUB-C13-75378be44a1546b7077102eb2fe91b4a.pdf;https://purl.fdlp.gov/GPO/gpo99383"
"001116415","140802s1932\\\\dcua\\\\ob\\\f000\0\eng\d","(OCoLC)885132773","0247 (online)","C 13.10:118","The optical rotation of liquidsits variation with wave length, temperature, solvent and concentration,by J. Martin Lowry. March 25, 1932.","Miscellaneous publications (United States. Bureau of Standards) ;118.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-b9c7e853f193dd4e6daf23352adaa5a3/pdf/GOVPUB-C13-b9c7e853f193dd4e6daf23352adaa5a3.pdf;https://purl.fdlp.gov/GPO/gpo102283"
"001116416","140802s1929\\\\dcua\\\\o\\\\f000\0\eng\d","(OCoLC)885132804","0247 (online);0247 (online)","C 13.10:98;C 13.10:99","American national screw thread tables for shop use ...[Recommended commercial standard] September 23[-24] 1929.","Miscellaneous publications (United States. Bureau of Standards) ;98.;Miscellaneous publications (United States. Bureau of Standards) ;99.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-3cc9997c25b5b325f93a6f22367059d7/pdf/GOVPUB-C13-3cc9997c25b5b325f93a6f22367059d7.pdf;https://www.govinfo.gov/content/pkg/GOVPUB-C13-e37fe604c6638ab929cfb4fe8af50ac2/pdf/GOVPUB-C13-e37fe604c6638ab929cfb4fe8af50ac2.pdf;https://purl.fdlp.gov/GPO/gpo104275;https://purl.fdlp.gov/GPO/gpo96981"
"001116417","140802s1929\\\\dcu\\\\\o\\\\f000\0\eng\d","(OCoLC)885132809","0247 (online)","C 13.10:97","Thermal properties of petroleum products :November 9, 1929.","Miscellaneous publications (United States. Bureau of Standards) ;97.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-da7a968e895631e1fad8cf9c2aef73e1/pdf/GOVPUB-C13-da7a968e895631e1fad8cf9c2aef73e1.pdf;https://purl.fdlp.gov/GPO/gpo103842"
"001116418","140802s1927\\\\dcu\\\\\or\\\f000\0\eng\d","(OCoLC)885132821","0247 (online)","C 13.10:96","Organizations cooperating with the National Bureau of Standards :issued April 26, 1927.","Miscellaneous publications (United States. Bureau of Standards) ;96.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-5e9ce2964b32f2024f2e7509ce91190f/pdf/GOVPUB-C13-5e9ce2964b32f2024f2e7509ce91190f.pdf;https://purl.fdlp.gov/GPO/gpo98518"
"001116419","140802s1930\\\\dcuaf\\\o\\\\f000\0\eng\d","(OCoLC)885132828","0247 (online)","C 13.10:100","Plain and thread plug and ring gage blanks /Recommended commercial standard as adopted by the American Gage Design Committee.","Miscellaneous publications (United States. Bureau of Standards) ;100.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-6022d9051ae2a4ee65e0b043f76429df/pdf/GOVPUB-C13-6022d9051ae2a4ee65e0b043f76429df.pdf;https://purl.fdlp.gov/GPO/gpo98573"
"001116421","140802s1929\\\\dcu\\\\\o\\\\f000\0\eng\d","(OCoLC)885132896","0247 (online)","C 13.10:86","Tables of spectral energy distribution and luminosity for use in computing light transmission and relative brightnesses from spectrophotometric databy J.F. Skogland ... January 7, 1929 ...","Miscellaneous publications (United States. Bureau of Standards) ;86.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-4aebc995394a2c47e95d07fb54bdd4b2/pdf/GOVPUB-C13-4aebc995394a2c47e95d07fb54bdd4b2.pdf;https://purl.fdlp.gov/GPO/gpo97616"
"001116422","140803s1926\\\\dcu\\\\\ob\\\f000\0\eng\d","(OCoLC)885174971","0247 (online)","C 13.10:73","Subject index of United States government master specifications ...May 1, 1926.","Miscellaneous publications (United States. Bureau of Standards) ;73.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-2137f994967e8ef2dec4f4203ab19727/pdf/GOVPUB-C13-2137f994967e8ef2dec4f4203ab19727.pdf;https://purl.fdlp.gov/GPO/gpo95787"
"001116426","140928s1930\\\\dcua\\\\o\\\\\000\0\eng\d","(OCoLC)891540332","0247 (online)","C 13.10:113","Simplification of sizes and terminology of high volatile bituminous coal (handled over docks at American head of the Great Lakes) :regional recommendation RR1-29, September 26, 1930.","Miscellaneous publications (United States. Bureau of Standards) ;113.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-2be3fc771f982369bc90e324f4733ec7/pdf/GOVPUB-C13-2be3fc771f982369bc90e324f4733ec7.pdf;https://purl.fdlp.gov/GPO/gpo96370"
"001116427","140928s1932\\\\dcuaf\\\o\\\\f000\0\eng\d","(OCoLC)891570408","0247 (online)","C 13.10:135","The international metric system of weights and measures[Issued May 26, 1932].","Miscellaneous publications (United States. Bureau of Standards) ;135.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-7bce1f6babbcbb82fe740fbde6ff1738/pdf/GOVPUB-C13-7bce1f6babbcbb82fe740fbde6ff1738.pdf;https://purl.fdlp.gov/GPO/gpo99662"
"001116428","151026s1932\\\\mdu\\\\\ob\\\f000\0\eng\d","(OCoLC)926731551","0247 (online)","C 13.10:137","Paint for priming plaster surfaces /Percy H. Walker, E.F. Hickson.","Miscellaneous publications (United States. Bureau of Standards) ;137.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-e42e92d87c42bb34d5503551bd15a73c/pdf/GOVPUB-C13-e42e92d87c42bb34d5503551bd15a73c.pdf;https://purl.fdlp.gov/GPO/gpo104304"
"001074053","151026s1942\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731541","0247 (online)","C 13.10:172","Index to the reports of the National Conference on Weights and Measures :from the first (1905) to the thirty-first (1941), inclusive /Ralph W. Smith, William T. McCormac.","Miscellaneous publications (United States. Bureau of Standards)  ;172.","https://doi.org/10.6028/NBS.MP.172;https://www.govinfo.gov/content/pkg/GOVPUB-C13-a21035b91f7b2c53f4f826a06d782005/pdf/GOVPUB-C13-a21035b91f7b2c53f4f826a06d782005.pdf;https://purl.fdlp.gov/GPO/gpo103662"
"001074060","151026s1937\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731353","0247 (online)","C 13.10:154","Summary report of Bureau of Standards research on preservation of records /A. E. Kimberly, B. W. Scribner.","Miscellaneous publications (United States. Bureau of Standards)  ;154.","https://doi.org/10.6028/NBS.MP.154;https://www.govinfo.gov/content/pkg/GOVPUB-C13-60e6bdb3ceafc9d3344ac4d4878a08f0/pdf/GOVPUB-C13-60e6bdb3ceafc9d3344ac4d4878a08f0.pdf;https://purl.fdlp.gov/GPO/gpo98603"
"001074077","151026s1935\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731591","0247 (online)","C 13.10:153","Visitors' manual of the National Bureau of Standards :a brief synopsis of its history, functions, and laboratory facilities /Hugh G. Boutell.","Miscellaneous publications (United States. Bureau of Standards)  ;153.","https://doi.org/10.6028/NBS.MP.153;https://www.govinfo.gov/content/pkg/GOVPUB-C13-09563de4957417faaf542ef4df461c99/pdf/GOVPUB-C13-09563de4957417faaf542ef4df461c99.pdf;https://purl.fdlp.gov/GPO/gpo94665"
"001074080","151026s1935\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731692","0247 (online)","C 13.10:146","Psychometric charts for high and low pressures /Donald B. Brooks.","Miscellaneous publications (United States. Bureau of Standards)  ;146.","https://doi.org/10.6028/NBS.MP.146;https://www.govinfo.gov/content/pkg/GOVPUB-C13-daafdff74eb5bcc8e2bdbc30aa64edb3/pdf/GOVPUB-C13-daafdff74eb5bcc8e2bdbc30aa64edb3.pdf;https://purl.fdlp.gov/GPO/gpo103860"
"001074096","151026s1939\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731725","0247 (online)","C 13.10:163","Scientific and technical positons in the National Bureau of Standards /William C. Fewell.","Miscellaneous publications (United States. Bureau of Standards)  ;163.","https://doi.org/10.6028/NBS.MP.163;https://www.govinfo.gov/content/pkg/GOVPUB-C13-91705dd4251c69c96b6a8af89ee6d4b5/pdf/GOVPUB-C13-91705dd4251c69c96b6a8af89ee6d4b5.pdf;https://purl.fdlp.gov/GPO/gpo100673"
"001074099","151026s1935\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731735","0247 (online)","C 13.10:155","Standard time zones of the United States and adjacent parts of Canada and Mexico as of October 1, 1935 [chart] /R. E. Gould.","Miscellaneous publications (United States. Bureau of Standards)  ;155.","https://doi.org/10.6028/NBS.MP.155;https://www.govinfo.gov/content/pkg/GOVPUB-C13-89cf78d4b5c10a8e6126935b724213c7/pdf/GOVPUB-C13-89cf78d4b5c10a8e6126935b724213c7.pdf;https://purl.fdlp.gov/GPO/gpo100389"
"001074101","151026s1935\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731747","0247 (online)","C 13.10:151","Design and construction of building exits /William K. Hatt.","Miscellaneous publications (United States. Bureau of Standards)  ;151.","https://doi.org/10.6028/NBS.MP.151;https://www.govinfo.gov/content/pkg/GOVPUB-C13-96c666a19aed3bac049eb00ab33dc0ad/pdf/GOVPUB-C13-96c666a19aed3bac049eb00ab33dc0ad.pdf;https://purl.fdlp.gov/GPO/gpo100903"
"001074134","151026s1936\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731762","0247 (online)","C 13.10:125","Directory of commercial testing and college research laboratories [superseding Bureau of Standards M90] /Ann E. Rapuzzi.","Miscellaneous publications (United States. Bureau of Standards)  ;125.","https://doi.org/10.6028/NBS.MP.125;https://www.govinfo.gov/content/pkg/GOVPUB-C13-559dbe1b4ec2fb1d04de125bef4c623e/pdf/GOVPUB-C13-559dbe1b4ec2fb1d04de125bef4c623e.pdf;https://purl.fdlp.gov/GPO/gpo98025"
"001074145","151026s1940\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731914","0247 (online)","C 13.10:165","Standardization of packages /Alex Pisciotta, Hazel Kyrk, Carlos Campbell, R. C. William, F. F. Fitzgerald,J. S. Algeo, Charles R. Cosby.","Miscellaneous publications (United States. Bureau of Standards)  ;165.","https://doi.org/10.6028/NBS.MP.165;https://www.govinfo.gov/content/pkg/GOVPUB-C13-17871fb5ece06980ac9034aaa2a09e22/pdf/GOVPUB-C13-17871fb5ece06980ac9034aaa2a09e22.pdf;https://purl.fdlp.gov/GPO/gpo95431"
"001074203","151026s1920==\\\\\\\\\\\\\\\\\\\\\\\\\\\","(OCoLC)926732119","0247 (online)","C 13.10:39-1","Household weights and measures /National Bureau of Standards.","Miscellaneous publications (United States. Bureau of Standards)  ;39-1.","https://doi.org/10.6028/NBS.MP.39-1;https://www.govinfo.gov/content/pkg/GOVPUB-C13-763563b20f4ba0edd5eb287b561409cd/pdf/GOVPUB-C13-763563b20f4ba0edd5eb287b561409cd.pdf;https://purl.fdlp.gov/GPO/gpo99428"
