001,008,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
001069268,160620s1988\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)951907327, 0247-D (online), C 13.58:88-3741, A scheme for translating control flow in the C programming language to Grafcet with examples / , NBSIR;  88-3741. , https://doi.org/10.6028/NBS.IR.88-3741 https://www.govinfo.gov/content/pkg/GOVPUB-C13-e3a80ce2aaaa7c9ce9784953eae7136d/pdf/GOVPUB-C13-e3a80ce2aaaa7c9ce9784953eae7136d.pdf https://purl.fdlp.gov/GPO/gpo104288
001069269,160620s1988\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)951907328, 0247-D (online), C 13.58:88-3742, Certification of SRM 1879 respirable cristobalite as a quantitative x-ray diffraction SRM / , NBSIR;  88-3742. , https://doi.org/10.6028/NBS.IR.88-3742 https://www.govinfo.gov/content/pkg/GOVPUB-C13-9e1cc47265d564289b64ed9e89c616b7/pdf/GOVPUB-C13-9e1cc47265d564289b64ed9e89c616b7.pdf https://purl.fdlp.gov/GPO/gpo101162
001069270,160620s1988\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)951907329, 0247-D (online), C 13.58:88-3743, Integrated Manufacturing Data Administration System operations manual / , NBSIR;  88-3743. , https://doi.org/10.6028/NBS.IR.88-3743 https://www.govinfo.gov/content/pkg/GOVPUB-C13-765f7cf02b449cd7c4894f74cbc7af8f/pdf/GOVPUB-C13-765f7cf02b449cd7c4894f74cbc7af8f.pdf https://purl.fdlp.gov/GPO/gpo99436
001069271,160620s1988\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)951907338, 0247-D (online), C 13.58:88-3745, Water spray suppression of fully-developed wood crib fires in a compartment / , NBSIR;  88-3745. , https://doi.org/10.6028/NBS.IR.88-3745 https://www.govinfo.gov/content/pkg/GOVPUB-C13-19d6db4bc872eeb98c216c9459ded4c8/pdf/GOVPUB-C13-19d6db4bc872eeb98c216c9459ded4c8.pdf https://purl.fdlp.gov/GPO/gpo95491
001069272,160620s1988\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)951907339, 0247-D (online), C 13.58:88-3746, Evaluation of test methods for measuring the bond strength of Portland-cement based repair materials to concrete / , NBSIR;  88-3746. , https://doi.org/10.6028/NBS.IR.88-3746 https://www.govinfo.gov/content/pkg/GOVPUB-C13-fb7d032f866e71f7617b634377e4e1cf/pdf/GOVPUB-C13-fb7d032f866e71f7617b634377e4e1cf.pdf https://purl.fdlp.gov/GPO/gpo105243
001069273,160620s1988\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)951907340, 0247-D (online), C 13.58:88-3747, GATT Standards Code activities of the National Bureau of Standards 1987 / , NBSIR;  88-3747. , https://doi.org/10.6028/NBS.IR.88-3747 https://www.govinfo.gov/content/pkg/GOVPUB-C13-281e8f084faaab1a8a89f6b988d6553c/pdf/GOVPUB-C13-281e8f084faaab1a8a89f6b988d6553c.pdf https://purl.fdlp.gov/GPO/gpo96328
001069274,160620s1988\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)951907341, 0247-D (online), C 13.58:88-3748," Center for Electronics and Electrical Engineering :  technical publication announcements covering center programs, July to September 1987, with 1988 CEEE events calendar /", NBSIR;  88-3748. , https://doi.org/10.6028/NBS.IR.88-3748 https://www.govinfo.gov/content/pkg/GOVPUB-C13-b634e1c03ca3e61b7f7c839ff7a79291/pdf/GOVPUB-C13-b634e1c03ca3e61b7f7c839ff7a79291.pdf https://purl.fdlp.gov/GPO/gpo102132
001069275,160620s1986\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)951907145, 0247-D (online), C 13.58:86-3501, Evaluation of electronic monitoring devices / , NBSIR;  86-3501. , https://doi.org/10.6028/NBS.IR.86-3501 https://www.govinfo.gov/content/pkg/GOVPUB-C13-b8e3ad21fe9189e7cab0c300d6e987f6/pdf/GOVPUB-C13-b8e3ad21fe9189e7cab0c300d6e987f6.pdf https://purl.fdlp.gov/GPO/gpo102250
001069276,160620s1988\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)951907372, 0247-D (online), C 13.58:88-3759, A simple method for measuring straightness of coordinate measuring machines / , NBSIR;  88-3759. , https://doi.org/10.6028/NBS.IR.88-3759 https://www.govinfo.gov/content/pkg/GOVPUB-C13-b69104af1f458e0d990393ce6e49ba52/pdf/GOVPUB-C13-b69104af1f458e0d990393ce6e49ba52.pdf https://purl.fdlp.gov/GPO/gpo102149
001069277,160620s1988\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)951907373, 0247-D (online), C 13.58:88-3760, Building technology project summaries 1988 / , NBSIR;  88-3760. , https://doi.org/10.6028/NBS.IR.88-3760 https://www.govinfo.gov/content/pkg/GOVPUB-C13-c393de8d70e29df06c67ea077aee1a54/pdf/GOVPUB-C13-c393de8d70e29df06c67ea077aee1a54.pdf https://purl.fdlp.gov/GPO/gpo102695
001069278,160620s1988\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)951907374, 0247-D (online), C 13.58:88-3761, Predicting formaldehyde concentrations in manufactured housing resulting from medium-density fiberboard / , NBSIR;  88-3761. , https://doi.org/10.6028/NBS.IR.88-3761 https://www.govinfo.gov/content/pkg/GOVPUB-C13-eb21fa1c17c7944282d6c444e94f9a4b/pdf/GOVPUB-C13-eb21fa1c17c7944282d6c444e94f9a4b.pdf https://purl.fdlp.gov/GPO/gpo104583
