001,008,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
001076103,151019s1960\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925472613, 0247-A (online), C 13.44:16, Vibration-rotation structure in absorption bands for the calibration of spectrometers from 2 to 16 microns / , NBS monograph ; 16 , https://doi.org/10.6028/NBS.MONO.16 https://www.govinfo.gov/content/pkg/GOVPUB-C13-9faf5f15a4fd3a8d0e48561af869780c/pdf/GOVPUB-C13-9faf5f15a4fd3a8d0e48561af869780c.pdf https://purl.fdlp.gov/GPO/gpo101202
001076104,151019s1973\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925473175, 0247-A (online), C 13.44:126, Platinum resistance thermometry / , NBS monograph ; 126 , https://doi.org/10.6028/NBS.MONO.126 https://www.govinfo.gov/content/pkg/GOVPUB-C13-8d8719c5897ac5feb2ece452e6c4d534/pdf/GOVPUB-C13-8d8719c5897ac5feb2ece452e6c4d534.pdf https://purl.fdlp.gov/GPO/gpo100513
001076116,151019s1974\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925473103, 0247-A (online), C 13.44:138, MeV total neutron cross sections / , NBS monograph ; 138 , https://doi.org/10.6028/NBS.MONO.138 https://www.govinfo.gov/content/pkg/GOVPUB-C13-caaafcd12238183f6f29d52ff745ad5c/pdf/GOVPUB-C13-caaafcd12238183f6f29d52ff745ad5c.pdf https://purl.fdlp.gov/GPO/gpo102994
001076121,151019s1975\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925473211, 0247-A (online), C 13.44:143, Analysis of optically excited mercury molecules / , NBS monograph ; 143 , https://doi.org/10.6028/NBS.MONO.143 https://www.govinfo.gov/content/pkg/GOVPUB-C13-6a53f4cbb3bfb5b76ebe91fb111e955e/pdf/GOVPUB-C13-6a53f4cbb3bfb5b76ebe91fb111e955e.pdf https://purl.fdlp.gov/GPO/gpo98952
001076125,151019s1975\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925473280, 0247-A (online), C 13.44:147, Relavistic many-body bound systems / , NBS monograph ; 147 , https://doi.org/10.6028/NBS.MONO.147 https://www.govinfo.gov/content/pkg/GOVPUB-C13-52cfbb3f484d7f55b7f9bfb91f790264/pdf/GOVPUB-C13-52cfbb3f484d7f55b7f9bfb91f790264.pdf https://purl.fdlp.gov/GPO/gpo97922
001076127,151019s1975\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925473282, 0247-A (online), C 13.44:149, Measurement assurance program- a case study :  lengths measurements. Part 1. long gage blocks (5 in to 20 in) /, NBS monograph ; 149 , https://doi.org/10.6028/NBS.MONO.149 https://www.govinfo.gov/content/pkg/GOVPUB-C13-adfdc263adfde18018311ab6ab82edb1/pdf/GOVPUB-C13-adfdc263adfde18018311ab6ab82edb1.pdf https://purl.fdlp.gov/GPO/gpo101798
001076128,151019s1976\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925473283, 0247-A (online), C 13.44:151, Automatic measurement of networks parameters- a survey / , NBS monograph ; 151 , https://doi.org/10.6028/NBS.MONO.151 https://www.govinfo.gov/content/pkg/GOVPUB-C13-2aead4152f30de054db76316df5f09ea/pdf/GOVPUB-C13-2aead4152f30de054db76316df5f09ea.pdf https://purl.fdlp.gov/GPO/gpo96360
001076148,151019s1982\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925473345, 0247-A (online), C 13.44:169, Thermophysical properties of normal butane from 135 to 700 K at pressures to 70 MPa / , NBS monograph ; 169 , https://doi.org/10.6028/NBS.MONO.169 https://www.govinfo.gov/content/pkg/GOVPUB-C13-9359423273dcbe851f275124ef6378d6/pdf/GOVPUB-C13-9359423273dcbe851f275124ef6378d6.pdf https://purl.fdlp.gov/GPO/gpo100753
001076149,151019s1982\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925473346, 0247-A (online), C 13.44:170, Thermophysical properties of propane from 85 to 700 K at pressures to 70 MPa / , NBS monograph ; 170 , https://doi.org/10.6028/NBS.MONO.170 https://www.govinfo.gov/content/pkg/GOVPUB-C13-7729a3081762ec00f83d52ccf3113263/pdf/GOVPUB-C13-7729a3081762ec00f83d52ccf3113263.pdf https://purl.fdlp.gov/GPO/gpo99476
001076150,151019s1983\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925473189, 0247-A (online), C 13.44:172, Liquefied natural gas densities :  summary of research program at the National Bureau of Standards /, NBS monograph ; 172 , https://doi.org/10.6028/NBS.MONO.172 https://www.govinfo.gov/content/pkg/GOVPUB-C13-16ca58fc90bc2aad4934e273d548b908/pdf/GOVPUB-C13-16ca58fc90bc2aad4934e273d548b908.pdf https://purl.fdlp.gov/GPO/gpo95401
001076151,151019s1985\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925473190, 0247-A (online), C 13.44:173, Fire Behavior of upholstered furniture / , NBS monograph ; 173 , https://doi.org/10.6028/NBS.MONO.173 https://www.govinfo.gov/content/pkg/GOVPUB-C13-cd9f464f64bdef0402bf8764239f0bb8/pdf/GOVPUB-C13-cd9f464f64bdef0402bf8764239f0bb8.pdf https://purl.fdlp.gov/GPO/gpo103110
001076152,151019s1960\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925472804, 0247-A (online), C 13.44:21, Specific heats and enthalpies of technical solids at low temperatures :  a compilation from the literature /, NBS monograph ; 21 , https://doi.org/10.6028/NBS.MONO.21 https://www.govinfo.gov/content/pkg/GOVPUB-C13-b5192b04a3d966a143052a376c30d8f1/pdf/GOVPUB-C13-b5192b04a3d966a143052a376c30d8f1.pdf https://purl.fdlp.gov/GPO/gpo102088
001076153,151019s1986\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)925473191, 0247-A (online), C 13.44:174, Thermometer calibration :  a model for state calibration laboratories /, NBS monograph ; 174 , https://doi.org/10.6028/NBS.MONO.174 https://www.govinfo.gov/content/pkg/GOVPUB-C13-60efd69bc3a0fd9aebde95def5c94bdb/pdf/GOVPUB-C13-60efd69bc3a0fd9aebde95def5c94bdb.pdf https://purl.fdlp.gov/GPO/gpo98604
001076160,151030s1960\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927169318, 0247-A (online), C 13.44:10," The ""1958 He{esc}p1{esc}(""S{esc}(B scale of temperatures"" :  part 1. introduction part 2. tables for the 1958 temperature scale /", NBS monograph ; 10 , https://doi.org/10.6028/NBS.MONO.10 https://www.govinfo.gov/content/pkg/GOVPUB-C13-80316da839c7e0caffb64da322cb65dc/pdf/GOVPUB-C13-80316da839c7e0caffb64da322cb65dc.pdf https://purl.fdlp.gov/GPO/gpo99824
001076163,151030s1960\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927169329, 0247-A (online), C 13.44:23, Amplitude-probability distributions for atmospheric radio noise / , NBS monograph ; 23 , https://doi.org/10.6028/NBS.MONO.23 https://www.govinfo.gov/content/pkg/GOVPUB-C13-fa0efdb1e2f806aa2f2eb28570e9fdf8/pdf/GOVPUB-C13-fa0efdb1e2f806aa2f2eb28570e9fdf8.pdf https://purl.fdlp.gov/GPO/gpo105186
001076164,151030s1962\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)927169252, 0247-A (online), C 13.44:25-1, Standard x-ray diffraction powder patterns / , NBS monograph ;  25-1. , https://doi.org/10.6028/NBS.MONO.25-1 https://www.govinfo.gov/content/pkg/GOVPUB-C13-85c072925c6df005be340a7fc4f4c98e/pdf/GOVPUB-C13-85c072925c6df005be340a7fc4f4c98e.pdf https://purl.fdlp.gov/GPO/gpo100234
