001,008,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
001077334,120629s2012\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)797158278, 0249-A (online), C 13.46:1742, Technical guidance for the specification and development of homeland security simulation applications / , NIST technical note ; 1742 , https://doi.org/10.6028/NIST.TN.1742 https://www.govinfo.gov/content/pkg/GOVPUB-C13-0031323c3ab5afe0752aae5db8544f45/pdf/GOVPUB-C13-0031323c3ab5afe0752aae5db8544f45.pdf https://purl.fdlp.gov/GPO/gpo94415
001077335,120629s2012\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)797190767, 0249-A (online), C 13.46:1743, Proposed general approach to fire-safety scenarios / , NIST technical note ; 1743 , https://doi.org/10.6028/NIST.TN.1743 https://www.govinfo.gov/content/pkg/GOVPUB-C13-b9bd1fc29b04bcd6dc109955f74c32e4/pdf/GOVPUB-C13-b9bd1fc29b04bcd6dc109955f74c32e4.pdf https://purl.fdlp.gov/GPO/gpo102279
001077336,120906s2012\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)809273004, 0249-A (online), C 13.46:1752, Digital image correlation measurements during gusset plate connection testing to structural failure / , NIST technical note ; 1752 , https://doi.org/10.6028/NIST.TN.1752 https://www.govinfo.gov/content/pkg/GOVPUB-C13-26cc0257ece4ad3fcb8b3b644a1b01d7/pdf/GOVPUB-C13-26cc0257ece4ad3fcb8b3b644a1b01d7.pdf https://purl.fdlp.gov/GPO/gpo96050
001077337,120906s2012\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)809273005, 0249-A (online), C 13.46:1753, Model based enterprise / technical data package :  summit report /, NIST technical note ; 1753 , https://doi.org/10.6028/NIST.TN.1753 https://www.govinfo.gov/content/pkg/GOVPUB-C13-534c452ff539e4d7c1d81c50acdf1c7e/pdf/GOVPUB-C13-534c452ff539e4d7c1d81c50acdf1c7e.pdf https://purl.fdlp.gov/GPO/gpo97941
001077338,120907s2012\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)809378154, 0249-A (online), C 13.46:1751, Accelerated weathering of firefighter protective clothing melamine fiber beads / , NIST technical note ; 1751 , https://doi.org/10.6028/NIST.TN.1751 https://www.govinfo.gov/content/pkg/GOVPUB-C13-e320c31d08e773f1c8ac36626fbd04a5/pdf/GOVPUB-C13-e320c31d08e773f1c8ac36626fbd04a5.pdf https://purl.fdlp.gov/GPO/gpo104258
001077339,121018s2012\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)813305067, 0249-A (online), C 13.46:1750, Annex 47 Extended Project Summary / , NIST technical note ; 1750 , https://doi.org/10.6028/NIST.TN.1750 https://www.govinfo.gov/content/pkg/GOVPUB-C13-59cbe6b8202cb8873c634e48ee603d06/pdf/GOVPUB-C13-59cbe6b8202cb8873c634e48ee603d06.pdf https://purl.fdlp.gov/GPO/gpo98304
001077340,121018s2012\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)813304922, 0249-A (online), C 13.46:1754," Factory equipment network testing framework :  universal client application, application program interface /", NIST technical note ; 1754 , https://doi.org/10.6028/NIST.TN.1754 https://www.govinfo.gov/content/pkg/GOVPUB-C13-58cbcf12b2782d45dd62a033aa2d8e04/pdf/GOVPUB-C13-58cbcf12b2782d45dd62a033aa2d8e04.pdf https://purl.fdlp.gov/GPO/gpo98133
001077341,121018s2012\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)813305080, 0249-A (online), C 13.46:1755," Factory equipment network testing framework :  concept, requirements, and architecture /", NIST technical note ; 1755 , https://doi.org/10.6028/NIST.TN.1755 https://www.govinfo.gov/content/pkg/GOVPUB-C13-b0618b51171616fc6db1c79277a4bca8/pdf/GOVPUB-C13-b0618b51171616fc6db1c79277a4bca8.pdf https://purl.fdlp.gov/GPO/gpo101903
001077342,121018s2012\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)813305084, 0249-A (online), C 13.46:1744, Annex 47 report 2 :  commissioning tools for existing and low energy buildings /, NIST technical note ; 1744 , https://doi.org/10.6028/NIST.TN.1744 https://www.govinfo.gov/content/pkg/GOVPUB-C13-58e0dd8c894f2e85b74db7c4310dd598/pdf/GOVPUB-C13-58e0dd8c894f2e85b74db7c4310dd598.pdf https://purl.fdlp.gov/GPO/gpo98136
001077343,121018s2012\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)813303289, 0249-A (online), C 13.46:1758, Justification of shielding requirements for plutonium sources / , NIST technical note ; 1758 , https://doi.org/10.6028/NIST.TN.1758 https://www.govinfo.gov/content/pkg/GOVPUB-C13-b447b3a06065c03c3d43c64377f80090/pdf/GOVPUB-C13-b447b3a06065c03c3d43c64377f80090.pdf https://purl.fdlp.gov/GPO/gpo102054
001077344,121018s2010\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)813305113, 0249-A (online), C 13.46:1725, Annex report 1 :  commissioning overview /, NIST technical note ; 1725 , https://doi.org/10.6028/NIST.TN.1725 https://www.govinfo.gov/content/pkg/GOVPUB-C13-7d48203f049daabc0b62da695e465e00/pdf/GOVPUB-C13-7d48203f049daabc0b62da695e465e00.pdf https://purl.fdlp.gov/GPO/gpo99715
001077345,121018s2012\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)813305119, 0249-A (online), C 13.46:1759, Development of a method to measure the energy consumption of automatic icemakers in domenstic refrigerators with single speed compressors / , NIST technical note ; 1759 , https://doi.org/10.6028/NIST.TN.1759 https://www.govinfo.gov/content/pkg/GOVPUB-C13-6f15a6da54895e38d58732cd2890d527/pdf/GOVPUB-C13-6f15a6da54895e38d58732cd2890d527.pdf https://purl.fdlp.gov/GPO/gpo99141
