001,008,035$a,074$a,086$a,245,830,856$u
"001074281","151026s1948\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732396","0247 (online)","C 13.10:191","Charts of compressibility factors and charts showing quantities delivered by commercial cylinders for hydrogen, nitrogetn, and oxygen /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;191.","https://doi.org/10.6028/NBS.MP.191;https://www.govinfo.gov/content/pkg/GOVPUB-C13-84f8d22fa812849b3066386db90cef50/pdf/GOVPUB-C13-84f8d22fa812849b3066386db90cef50.pdf;https://purl.fdlp.gov/GPO/gpo100197"
"001074282","151026s1950\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732425","0247 (online)","C 13.10:195","Report of the thirty-fourth national conference on weights and measures /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;195.","https://doi.org/10.6028/NBS.MP.195;https://www.govinfo.gov/content/pkg/GOVPUB-C13-ad60d2124c1fe7d548a21bf2629e0ab9/pdf/GOVPUB-C13-ad60d2124c1fe7d548a21bf2629e0ab9.pdf;https://purl.fdlp.gov/GPO/gpo101772"
"001074283","151026s1949\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732434","0247 (online)","C 13.10:198","Annual report 1949 National Bureau of Standards /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;198.","https://doi.org/10.6028/NBS.MP.198;https://www.govinfo.gov/content/pkg/GOVPUB-C13-b3c9b109060aeb3e2a3abce6a7878b77/pdf/GOVPUB-C13-b3c9b109060aeb3e2a3abce6a7878b77.pdf;https://purl.fdlp.gov/GPO/gpo102035"
"001074284","151026s1950\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732426","0247 (online)","C 13.10:199","Report of the thirty-fifth national conference on weights and measures /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;199.","https://doi.org/10.6028/NBS.MP.199;https://www.govinfo.gov/content/pkg/GOVPUB-C13-8ed06db0b45d1d4cbeeab1c22f1c0678/pdf/GOVPUB-C13-8ed06db0b45d1d4cbeeab1c22f1c0678.pdf;https://purl.fdlp.gov/GPO/gpo100578"
"001074285","151026s1950\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732246","0247 (online)","C 13.10:200","Annual report 1950 National Bureau of Standards /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;200.","https://doi.org/10.6028/NBS.MP.200;https://www.govinfo.gov/content/pkg/GOVPUB-C13-8bd4adc101fd4d653feb1bdecd739f57/pdf/GOVPUB-C13-8bd4adc101fd4d653feb1bdecd739f57.pdf;https://purl.fdlp.gov/GPO/gpo100455"
"001074286","151026s1951\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732260","0247 (online)","C 13.10:202","Report of the thirty-sixth national conference on weights and measures /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;202.","https://doi.org/10.6028/NBS.MP.202;https://www.govinfo.gov/content/pkg/GOVPUB-C13-874ddb0056e366c2b4ba05c13d898663/pdf/GOVPUB-C13-874ddb0056e366c2b4ba05c13d898663.pdf;https://purl.fdlp.gov/GPO/gpo100283"
"001074287","151026s1951\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732261","0247 (online)","C 13.10:204","Annual report 1951 National Bureau of Standards /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;204.","https://doi.org/10.6028/NBS.MP.204;https://www.govinfo.gov/content/pkg/GOVPUB-C13-f503f4454032ea6334f840e2bf70a44b/pdf/GOVPUB-C13-f503f4454032ea6334f840e2bf70a44b.pdf;https://purl.fdlp.gov/GPO/gpo104981"
"001074288","151026s1953\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732427","0247 (online)","C 13.10:206","Report of the thirty-seventh national conference on weights and measures /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;206.","https://doi.org/10.6028/NBS.MP.206;https://www.govinfo.gov/content/pkg/GOVPUB-C13-9a6f59e7d2b77acdc428dbe879645c3d/pdf/GOVPUB-C13-9a6f59e7d2b77acdc428dbe879645c3d.pdf;https://purl.fdlp.gov/GPO/gpo101027"
"001074289","151026s1952\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732428","0247 (online)","C 13.10:207","Annual report 1952 National Bureau of Standards /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;207.","https://doi.org/10.6028/NBS.MP.207;https://www.govinfo.gov/content/pkg/GOVPUB-C13-6299f0b2e7265e4d1cf7068c6cbc593d/pdf/GOVPUB-C13-6299f0b2e7265e4d1cf7068c6cbc593d.pdf;https://purl.fdlp.gov/GPO/gpo100008"
"001074290","151026s1952\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732449","0247 (online)","C 13.10:209","Report of the thirty-eighth national conference on weights and measures /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;209.","https://doi.org/10.6028/NBS.MP.209;https://www.govinfo.gov/content/pkg/GOVPUB-C13-b7bbc34ac98d4e2ca96221f280c9058e/pdf/GOVPUB-C13-b7bbc34ac98d4e2ca96221f280c9058e.pdf;https://purl.fdlp.gov/GPO/gpo102209"
"001074291","151026s1954\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732294","0247 (online)","C 13.10:212","Report of the 39th National Conference on Weights and Measures 1954 /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;212.","https://doi.org/10.6028/NBS.MP.212;https://www.govinfo.gov/content/pkg/GOVPUB-C13-fbc71fd0e32b848f0d0775ed4e4f3079/pdf/GOVPUB-C13-fbc71fd0e32b848f0d0775ed4e4f3079.pdf;https://purl.fdlp.gov/GPO/gpo105251"
"001074292","151026s1955\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732450","0247 (online)","C 13.10:216","Report of the 40th National Conference on Weights and Measures 1955 /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;216.","https://doi.org/10.6028/NBS.MP.216;https://www.govinfo.gov/content/pkg/GOVPUB-C13-6a71002ba3b8f169bf7ad8770cb599b3/pdf/GOVPUB-C13-6a71002ba3b8f169bf7ad8770cb599b3.pdf;https://purl.fdlp.gov/GPO/gpo98956"
"001074293","151026s1955\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732451","0247 (online)","C 13.10:217","Annual report 1955 National Bureau of Standards /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;217.","https://doi.org/10.6028/NBS.MP.217;https://www.govinfo.gov/content/pkg/GOVPUB-C13-a1eb4028ab140b7afd467b060e68d17b/pdf/GOVPUB-C13-a1eb4028ab140b7afd467b060e68d17b.pdf;https://purl.fdlp.gov/GPO/gpo101313"
"001074294","151026s1957\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732474","0247 (online)","C 13.10:219","Report of the 41st National Conference on Weights and Measures 1956 /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;219.","https://doi.org/10.6028/NBS.MP.219;https://www.govinfo.gov/content/pkg/GOVPUB-C13-be2b0fa84a9d53f1a2b2e48ab250b44b/pdf/GOVPUB-C13-be2b0fa84a9d53f1a2b2e48ab250b44b.pdf;https://purl.fdlp.gov/GPO/gpo102445"
"001074295","151026s1956\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732295","0247 (online)","C 13.10:220","Annual Report 1956 National Bureau of Standards /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;220.","https://doi.org/10.6028/NBS.MP.220;https://www.govinfo.gov/content/pkg/GOVPUB-C13-391292c5d63564aca1566a6e345661a8/pdf/GOVPUB-C13-391292c5d63564aca1566a6e345661a8.pdf;https://purl.fdlp.gov/GPO/gpo96727"
"001074296","151026s1957\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732475","0247 (online)","C 13.10:222","Report of the 42nd National Conference on Weights and Measures 1957 /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;222.","https://doi.org/10.6028/NBS.MP.222;https://www.govinfo.gov/content/pkg/GOVPUB-C13-823739df34f6bc87ed221ab73271a3d3/pdf/GOVPUB-C13-823739df34f6bc87ed221ab73271a3d3.pdf;https://purl.fdlp.gov/GPO/gpo99902"
"001074297","151026s1958\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732488","0247 (online)","C 13.10:225","Report of the 43nd National Conference on Weights and Measures 1958 /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;225.","https://doi.org/10.6028/NBS.MP.225;https://www.govinfo.gov/content/pkg/GOVPUB-C13-88ac022686b45f3d9aae93fe72401d46/pdf/GOVPUB-C13-88ac022686b45f3d9aae93fe72401d46.pdf;https://purl.fdlp.gov/GPO/gpo100332"
"001074298","151026s1959\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732296","0247 (online)","C 13.10:228","Report of the 44th National Conference on Weights and Measures 1959 /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;228.","https://doi.org/10.6028/NBS.MP.228;https://www.govinfo.gov/content/pkg/GOVPUB-C13-a0bfac7b412e7a1595890fbfc8d9c373/pdf/GOVPUB-C13-a0bfac7b412e7a1595890fbfc8d9c373.pdf;https://purl.fdlp.gov/GPO/gpo101254"
"001074299","151026s1960\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732297","0247 (online)","C 13.10:235","Report of the 45th National Conference on Weights and Measures 1960 /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;235.","https://doi.org/10.6028/NBS.MP.235;https://www.govinfo.gov/content/pkg/GOVPUB-C13-e7e4dc1aecadb61ee6202b339f398d66/pdf/GOVPUB-C13-e7e4dc1aecadb61ee6202b339f398d66.pdf;https://purl.fdlp.gov/GPO/gpo104464"
"001074300","151026s1961\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732502","0247 (online)","C 13.10:236","Standard frequencies and time signals from NBS stations WWV and WWVH /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;236.","https://doi.org/10.6028/NBS.MP.236;https://www.govinfo.gov/content/pkg/GOVPUB-C13-f2885f016ff3c65be5cda8839ccad3ef/pdf/GOVPUB-C13-f2885f016ff3c65be5cda8839ccad3ef.pdf;https://purl.fdlp.gov/GPO/gpo104893"
"001074301","151026s1962\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732476","0247 (online)","C 13.10:239","Report of the 46th National Conference on Weights and Measures 1961 /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;239.","https://doi.org/10.6028/NBS.MP.239;https://www.govinfo.gov/content/pkg/GOVPUB-C13-e2d4bf254ba218cb119d1aeab251dfcd/pdf/GOVPUB-C13-e2d4bf254ba218cb119d1aeab251dfcd.pdf;https://purl.fdlp.gov/GPO/gpo104242"
"001074303","151026s1962\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732478","0247 (online)","C 13.10:244","Report of the 47th National Conference on Weights and Measures 1962 /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;244.","https://doi.org/10.6028/NBS.MP.244;https://www.govinfo.gov/content/pkg/GOVPUB-C13-107a05a9c873b91cefb3cb546896b771/pdf/GOVPUB-C13-107a05a9c873b91cefb3cb546896b771.pdf;https://purl.fdlp.gov/GPO/gpo95067"
"001074304","151026s1963\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732365","0247 (online)","C 13.10:250","Calibration and test services of the National Bureau of Standards (Notice of Change Insert sheets are included in a separate folder) /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;250.","https://doi.org/10.6028/NBS.MP.250;https://www.govinfo.gov/content/pkg/GOVPUB-C13-e5d6d0b4c4c6c56dbbeaa5ad6614877f/pdf/GOVPUB-C13-e5d6d0b4c4c6c56dbbeaa5ad6614877f.pdf;https://purl.fdlp.gov/GPO/gpo104378"
"001074305","151026s1963\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732480","0247 (online)","C 13.10:253","Recommended unit prefixes, Defined values and conversion factors (card 1), General physical constants recommended by NAS-NRC (card 2) /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;253.","https://doi.org/10.6028/NBS.MP.253;https://www.govinfo.gov/content/pkg/GOVPUB-C13-dc85722872ab7945773bde84551dd8af/pdf/GOVPUB-C13-dc85722872ab7945773bde84551dd8af.pdf;https://purl.fdlp.gov/GPO/gpo103961"
"001074306","151026s1963\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732524","0247 (online)","C 13.10:254","Report of the 48th National Conference on Weights and Measures 1963 /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;254.","https://doi.org/10.6028/NBS.MP.254;https://www.govinfo.gov/content/pkg/GOVPUB-C13-ccc24833a0cd050c695394416491d80e/pdf/GOVPUB-C13-ccc24833a0cd050c695394416491d80e.pdf;https://purl.fdlp.gov/GPO/gpo103083"
"001074307","151026s1965\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732525","0247 (online)","C 13.10:263","Report of the 49th National Conference on Weights and Measures 1964 /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;263.","https://doi.org/10.6028/NBS.MP.263;https://www.govinfo.gov/content/pkg/GOVPUB-C13-84ae97af7af0d3ebb16d0ce37d6772c2/pdf/GOVPUB-C13-84ae97af7af0d3ebb16d0ce37d6772c2.pdf;https://purl.fdlp.gov/GPO/gpo100188"
"001074308","151026s1965\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732526","0247 (online)","C 13.10:268","Electrical engineering units and constants (superseded by SP368 1976) /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;268.","https://doi.org/10.6028/NBS.MP.268;https://www.govinfo.gov/content/pkg/GOVPUB-C13-4b87d8c40a53428012e967ee61ab4958/pdf/GOVPUB-C13-4b87d8c40a53428012e967ee61ab4958.pdf;https://purl.fdlp.gov/GPO/gpo97637"
"001074309","151026s1966\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732529","0247 (online)","C 13.10:277","Photonuclear data index /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;277.","https://doi.org/10.6028/NBS.MP.277;https://www.govinfo.gov/content/pkg/GOVPUB-C13-8e92be367d982c81adc61ec765a0afad/pdf/GOVPUB-C13-8e92be367d982c81adc61ec765a0afad.pdf;https://purl.fdlp.gov/GPO/gpo100565"
"001074310","151026s1966\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732538","0247 (online)","C 13.10:282","The National Bureau of Standards 1966 /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;282.","https://doi.org/10.6028/NBS.MP.282;https://www.govinfo.gov/content/pkg/GOVPUB-C13-32c0b0a3675907281dab659c999874e8/pdf/GOVPUB-C13-32c0b0a3675907281dab659c999874e8.pdf;https://purl.fdlp.gov/GPO/gpo96819"
"001074313","151026s1954\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732544","0247 (online)","C 13.10:211","American standard building code requirements for masonry /Sectional Committee on Building Code Requirements and Good Practice Recommendations for Masonry-A41,","National Bureau of Standards miscellaneous publication ;211.","https://doi.org/10.6028/NBS.MP.211;https://www.govinfo.gov/content/pkg/GOVPUB-C13-064843daf1d708f7529366e16129ee32/pdf/GOVPUB-C13-064843daf1d708f7529366e16129ee32.pdf;https://purl.fdlp.gov/GPO/gpo94630"
"001074316","151026s1960\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926732547","0247 (online)","C 13.10:234","Household weights and measures /National Bureau of Standards.","National Bureau of Standards miscellaneous publication ;234.","https://doi.org/10.6028/NBS.MP.234;https://www.govinfo.gov/content/pkg/GOVPUB-C13-6b0dfcc5ea30d8deb740640416238ed1/pdf/GOVPUB-C13-6b0dfcc5ea30d8deb740640416238ed1.pdf;https://purl.fdlp.gov/GPO/gpo98985"
"001074738","151026s1965\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926739933","0247 (online)","C 13.10:260-5","Standard reference materials :accuracy of solution x-ray spectrometric analysis of copper-base alloys/Robert Alvarez, Richard Flitsch.","National Bureau of Standards miscellaneous publication ;260-5.","https://doi.org/10.6028/NBS.SP.260-5;https://www.govinfo.gov/content/pkg/GOVPUB-C13-04d117ebc13007bdcb283045abc65d24/pdf/GOVPUB-C13-04d117ebc13007bdcb283045abc65d24.pdf;https://purl.fdlp.gov/GPO/gpo94583"
"001074747","151026s1966\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926740144","0247 (online)","C 13.10:260-11","Standard reference materials :viscosity of a standard lead-silica glass/A. Napolitano, E. G. Hawkins.","National Bureau of Standards miscellaneous publication ;260-11.","https://doi.org/10.6028/NBS.SP.260-11;https://www.govinfo.gov/content/pkg/GOVPUB-C13-5f8ce3c1b2d6bbf89e0831a7c49611f5/pdf/GOVPUB-C13-5f8ce3c1b2d6bbf89e0831a7c49611f5.pdf;https://purl.fdlp.gov/GPO/gpo98548"
"001074766","151026s1965\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926740268","0247 (online)","C 13.10:260-4","Standard reference materials :sources of information/John Hague, Thomas W. Mears.","National Bureau of Standards miscellaneous publication ;260-4.","https://doi.org/10.6028/NBS.SP.260-4;https://www.govinfo.gov/content/pkg/GOVPUB-C13-66ce574ca13de8e53e57f8e71e2b56ea/pdf/GOVPUB-C13-66ce574ca13de8e53e57f8e71e2b56ea.pdf;https://purl.fdlp.gov/GPO/gpo98826"
"001074773","151026s1967\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926740310","0247 (online)","C 13.10:260-15","Standard reference materials :recommended method of use of standard light-sensitive paper for calibrating carbon arcs used in testing textiles for colorfastness to light/Elio Passaglia, Paul J. Shouse.","National Bureau of Standards miscellaneous publication ;260-15.","https://doi.org/10.6028/NBS.SP.260-15;https://www.govinfo.gov/content/pkg/GOVPUB-C13-d9d07967fab7aca5ec82dc2e9ce1d2b7/pdf/GOVPUB-C13-d9d07967fab7aca5ec82dc2e9ce1d2b7.pdf;https://purl.fdlp.gov/GPO/gpo103818"
"001074779","151026s1966\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926740342","0247 (online)","C 13.10:260-14","Standard reference materials :determination of oxygen in ferrous materials SRM 1090, 1091, and 1092/Oscar Menis, J. T. Sterling.","National Bureau of Standards miscellaneous publication ;260-14.","https://doi.org/10.6028/NBS.SP.260-14;https://www.govinfo.gov/content/pkg/GOVPUB-C13-f60e07cc4ad4ce337693d716b4a38e9d/pdf/GOVPUB-C13-f60e07cc4ad4ce337693d716b4a38e9d.pdf;https://purl.fdlp.gov/GPO/gpo105029"
"001074782","151026s1966\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926740345","0247 (online)","C 13.10:260-12","Standard reference materials :homogeneity characterization of NBS spectrometric standards III /H. Yakowitz, D. L. Vieth.","National Bureau of Standards miscellaneous publication ;260-12.","https://doi.org/10.6028/NBS.SP.260-12;https://www.govinfo.gov/content/pkg/GOVPUB-C13-aa2c7f5af7ec3c2328a49e0cf0100f13/pdf/GOVPUB-C13-aa2c7f5af7ec3c2328a49e0cf0100f13.pdf;https://purl.fdlp.gov/GPO/gpo101652"
"001074785","151026s1964\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926740391","0247 (online)","C 13.10:260-2","Standard reference materials :preparation of NBS copper-base spectrochemical standards/Robert E. Michaelis, LeRoy L. Wyman.","National Bureau of Standards miscellaneous publication ;260-2.","https://doi.org/10.6028/NBS.SP.260-2;https://www.govinfo.gov/content/pkg/GOVPUB-C13-82a8a385e549185bda026bb2bc0ddf79/pdf/GOVPUB-C13-82a8a385e549185bda026bb2bc0ddf79.pdf;https://purl.fdlp.gov/GPO/gpo99925"
"001074786","151026s1964\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926740247","0247 (online)","C 13.10:260-1","Standard reference materials :preparation of NBS white cast iron spectrochemical standards/Robert E. Michaelis, LeRoy L. Wyman.","National Bureau of Standards miscellaneous publication ;260-1.","https://doi.org/10.6028/NBS.SP.260-1;https://www.govinfo.gov/content/pkg/GOVPUB-C13-aa22ee685e8c8453822f8d79e7c51560/pdf/GOVPUB-C13-aa22ee685e8c8453822f8d79e7c51560.pdf;https://purl.fdlp.gov/GPO/gpo101647"
"001074787","151026s1964\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926740248","0247 (online)","C 13.10:260-3","Standard reference materials :metallographic characterization of an NBS spectrometric low-alloy steel standard/R. E. Michaelis, H. Yakowitz.","National Bureau of Standards miscellaneous publication ;260-3.","https://doi.org/10.6028/NBS.SP.260-3;https://www.govinfo.gov/content/pkg/GOVPUB-C13-4bfa3088192bb534ab4a8d8430260d5f/pdf/GOVPUB-C13-4bfa3088192bb534ab4a8d8430260d5f.pdf;https://purl.fdlp.gov/GPO/gpo97651"
"001074788","151026s1965\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926740405","0247 (online)","C 13.10:260-7","Standard reference materials :methods for the chemical analysis of NBS copper-base spectrochemical standards/Rosemond K. Bell.","National Bureau of Standards miscellaneous publication ;260-7.","https://doi.org/10.6028/NBS.SP.260-7;https://www.govinfo.gov/content/pkg/GOVPUB-C13-1d1d64ad49f9bb7589a5fbd0dbb83280/pdf/GOVPUB-C13-1d1d64ad49f9bb7589a5fbd0dbb83280.pdf;https://purl.fdlp.gov/GPO/gpo95698"
"001074802","151026s1965\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926740411","0247 (online)","C 13.10:260-8","Standard reference materials :analysis of uranium concentrates at the National Bureau of Standards/M. S. Richmond.","National Bureau of Standards miscellaneous publication ;260-8.","https://doi.org/10.6028/NBS.SP.260-8;https://www.govinfo.gov/content/pkg/GOVPUB-C13-ef27f42d495564d945268cc52b863a56/pdf/GOVPUB-C13-ef27f42d495564d945268cc52b863a56.pdf;https://purl.fdlp.gov/GPO/gpo104752"
"001074803","151026s1965\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926740461","0247 (online)","C 13.10:260-6","Standard reference materials :methods for the chemical analysis of white cast iron standards/J. I. Shultz.","National Bureau of Standards miscellaneous publication ;260-6.","https://doi.org/10.6028/NBS.SP.260-6;https://www.govinfo.gov/content/pkg/GOVPUB-C13-399f521f50c7c918f8007fad81691fde/pdf/GOVPUB-C13-399f521f50c7c918f8007fad81691fde.pdf;https://purl.fdlp.gov/GPO/gpo96743"
"001074811","151026s1967\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926740515","0247 (online)","C 13.10:260-13","Standard reference materials :mossbauer spectroscopy standard for the chemical shift of iron compounds/Jon J. Spijkerman, David K. Snediker, James R. DeVoe.","National Bureau of Standards miscellaneous publication ;260-13.","https://doi.org/10.6028/NBS.SP.260-13;https://www.govinfo.gov/content/pkg/GOVPUB-C13-bb3899c1d073b26454bdb80695c9f25f/pdf/GOVPUB-C13-bb3899c1d073b26454bdb80695c9f25f.pdf;https://purl.fdlp.gov/GPO/gpo102330"
"001074816","151026s1965\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926740552","0247 (online)","C 13.10:260-9","Standard reference materials :half lives of materials used in the preparation of standard reference materials of nineteen radioactive nuclides issued by the National Bureau of Standards/S. C. Anspach, L. M. Cavallo, J. M. R. Hutchinson, C. N. Smith.","National Bureau of Standards miscellaneous publication ;260-9.","https://doi.org/10.6028/NBS.SP.260-9;https://www.govinfo.gov/content/pkg/GOVPUB-C13-9de34a80230ac70a852b89e524bff38b/pdf/GOVPUB-C13-9de34a80230ac70a852b89e524bff38b.pdf;https://purl.fdlp.gov/GPO/gpo101155"
"001074825","151026s1965\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926740576","0247 (online)","C 13.10:260-10","Standard reference materials :homogeneity characterization of NBS spectrometric standards II /H. Yakowitz, D. L. Vieth, R. E. Michaelis.","National Bureau of Standards miscellaneous publication ;260-10.","https://doi.org/10.6028/NBS.SP.260-10;https://www.govinfo.gov/content/pkg/GOVPUB-C13-9edff8902c9ee40c02271cb39061c5a0/pdf/GOVPUB-C13-9edff8902c9ee40c02271cb39061c5a0.pdf;https://purl.fdlp.gov/GPO/gpo101182"
"001116358","100316s1967\\\\dcuac\\\o\\\\\100\0\eng\d","(OCoLC)557003094","0247 (online)","C 13.10:284","Technology and world tradeproceedings.Edited by Robert L. Stern.","National Bureau of Standards miscellaneous publication ;284.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-2d80dcc52f88fd01f3a877b2986f4bca/pdf/GOVPUB-C13-2d80dcc52f88fd01f3a877b2986f4bca.pdf;https://purl.fdlp.gov/GPO/gpo96227"
"001116361","100326s1966\\\\dcu\\\\\ob\\\\000\0\eng\d","(OCoLC)577341840","0247 (online)","C 13.10:276","Cooperation, convertibility, and compatibility among information systemsa literature review[by] Madeline M. Henderson [and others].","National Bureau of Standards miscellaneous publication ;276.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-dd79fcc1e3f009ec5ea1af21c1cc4a09/pdf/GOVPUB-C13-dd79fcc1e3f009ec5ea1af21c1cc4a09.pdf;https://purl.fdlp.gov/GPO/gpo104004"
"001116363","100402s1966\\\\dcua\\\\ob\\\f100\0\eng\d","(OCoLC)594998100","0247 (online)","C 13.10:273","Critical phenomena :proceedings of a conference held in Washington, D.C., April 1965 /sponsored by National Bureau of Standards, National Science Foundation, Office of Naval Research ; edited by M.S. Green and J.V. Sengers.","National Bureau of Standards miscellaneous publication ;273.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-256c15a8e81a7743f06d18a4088e47cd/pdf/GOVPUB-C13-256c15a8e81a7743f06d18a4088e47cd.pdf;https://purl.fdlp.gov/GPO/gpo96034"
"001116365","100423s1964\\\\dcu\\\\\ob\\\\000\0\eng\d","(OCoLC)609101325","0247 (online)","C 13.10:258","Foreign-language and English dictionaries in the physical sciences and engineeringa selected bibliography, 1952 to 1963.","National Bureau of Standards miscellaneous publication ;258.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-0954f1755933a16b1ef58619a3dbd1e5/pdf/GOVPUB-C13-0954f1755933a16b1ef58619a3dbd1e5.pdf;https://purl.fdlp.gov/GPO/gpo94771"
"001116366","100423s1947\\\\dcua\\\\ob\\\f000\0\eng\d","(OCoLC)609190339","0247 (online)","C 13.10:177","Tests of instruments for the determination, indication, or recording of the specific gravities of gasesby Francis A. Smith, John H. Eiseman, and E. Carroll Creitz. Issued January 20, 1947.","National Bureau of Standards miscellaneous publication ;177.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-c1028fe37fcd9da3602fc189c9830e3a/pdf/GOVPUB-C13-c1028fe37fcd9da3602fc189c9830e3a.pdf;https://purl.fdlp.gov/GPO/gpo102572"
"001116367","100423s1966\\\\dcua\\\\ob\\\f100\0\eng\d","(OCoLC)609208594","0247 (online)","C 13.10:269","Statistical association methods for mechanized documentationsymposium proceedings.Edited by Mary Elizabeth Stevens, Vincent E. Giuliano, and Laurence B. Heilprin.","National Bureau of Standards miscellaneous publication ;269.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-14e5c8213b5ad089bb2a05f24cc09e94/pdf/GOVPUB-C13-14e5c8213b5ad089bb2a05f24cc09e94.pdf;https://purl.fdlp.gov/GPO/gpo95158"
"001116368","100426s1947\\\\dcu\\\\\obj\\f000\0\eng\d","(OCoLC)609469279","0247 (online)","C 13.10:184","United States patents on powder metallurgy /by Raymond E. Jager and Rolla E. Pollard.","National Bureau of Standards miscellaneous publication ;184.","https://www.govinfo.gov/content/pkg/GOVPUB-C13-569da73468758161ddea341a37c149b8/pdf/GOVPUB-C13-569da73468758161ddea341a37c149b8.pdf;https://purl.fdlp.gov/GPO/gpo98058"
