001,008,035$a,074$a,086$a,245,830,856$u
"001074089","151026s1967\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731695","0247 (online)","C 13.10:286","Units of weight and measure :international (metric) and U.S. customary (supersedes MP233) /L. J. Chisholm.","National Bureau of Standards miscellaneous publication ;286.","https://doi.org/10.6028/NBS.MP.286;https://www.govinfo.gov/content/pkg/GOVPUB-C13-a8ff2e478908a0307a1b097ecfe6a1cc/pdf/GOVPUB-C13-a8ff2e478908a0307a1b097ecfe6a1cc.pdf;https://purl.fdlp.gov/GPO/gpo101613"
"001074090","151026s1966\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731696","0247 (online)","C 13.10:272","Report of the 50th National Conference on Weights and Measures 1965 /L. J. Chisholm.","National Bureau of Standards miscellaneous publication ;272.","https://doi.org/10.6028/NBS.MP.272;https://www.govinfo.gov/content/pkg/GOVPUB-C13-dcb3614a6a2068ee79f7c0058ef51041/pdf/GOVPUB-C13-dcb3614a6a2068ee79f7c0058ef51041.pdf;https://purl.fdlp.gov/GPO/gpo103975"
"001074091","151026s1967\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731706","0247 (online)","C 13.10:290","Report of the 51st National Conference on Weights and Measures 1966 /L. J. Chisholm.","National Bureau of Standards miscellaneous publication ;290.","https://doi.org/10.6028/NBS.MP.290;https://www.govinfo.gov/content/pkg/GOVPUB-C13-2ba1ba63ad2962b62585c9334be280b3/pdf/GOVPUB-C13-2ba1ba63ad2962b62585c9334be280b3.pdf;https://purl.fdlp.gov/GPO/gpo96172"
"001074097","151026s1966\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731505","0247 (online)","C 13.10:265","Dimensional metrology :subject-classified with abstracts through 1964 /Irvin H. Fullmer.","National Bureau of Standards miscellaneous publication ;265.","https://doi.org/10.6028/NBS.MP.265;https://www.govinfo.gov/content/pkg/GOVPUB-C13-6c76cfc1453f6d3c1fe7f6527ae41527/pdf/GOVPUB-C13-6c76cfc1453f6d3c1fe7f6527ae41527.pdf;https://purl.fdlp.gov/GPO/gpo99040"
"001074100","151026s1967\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731746","0247 (online)","C 13.10:288","Directory of United States standardization activities (supersedes MP230) /Joan E. Hartman.","National Bureau of Standards miscellaneous publication ;288.","https://doi.org/10.6028/NBS.MP.288;https://www.govinfo.gov/content/pkg/GOVPUB-C13-9c81666b86ee7dffb7e3ed97e92490a9/pdf/GOVPUB-C13-9c81666b86ee7dffb7e3ed97e92490a9.pdf;https://purl.fdlp.gov/GPO/gpo101108"
"001074104","151026s1966\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731717","0247 (online)","C 13.10:274","Periodicals and serials received in the Library of the National Bureau of Standards as of October 1965 /Natalie J. Hopper.","National Bureau of Standards miscellaneous publication ;274.","https://doi.org/10.6028/NBS.MP.274;https://www.govinfo.gov/content/pkg/GOVPUB-C13-5e73282def5dcc23fdd61e59e7ef690a/pdf/GOVPUB-C13-5e73282def5dcc23fdd61e59e7ef690a.pdf;https://purl.fdlp.gov/GPO/gpo98509"
"001074107","151026s1967\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731774","0247 (online)","C 13.10:294","Operations research :proceedings of a conference for Washington area government agencies April 20, 1966 /J. A. Joseph.","National Bureau of Standards miscellaneous publication ;294.","https://doi.org/10.6028/NBS.MP.294;https://www.govinfo.gov/content/pkg/GOVPUB-C13-bb8f9a2af3f3067de876a78a0ad5dcd0/pdf/GOVPUB-C13-bb8f9a2af3f3067de876a78a0ad5dcd0.pdf;https://purl.fdlp.gov/GPO/gpo102344"
"001074108","151026s1960\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731756","0247 (online)","C 13.10:233","Units of weight and measure :definitions and tables of equivalents /L. V. Judson.","National Bureau of Standards miscellaneous publication ;233.","https://doi.org/10.6028/NBS.MP.233;https://www.govinfo.gov/content/pkg/GOVPUB-C13-481eeeee60287369ea6ac5b74ec31dda/pdf/GOVPUB-C13-481eeeee60287369ea6ac5b74ec31dda.pdf;https://purl.fdlp.gov/GPO/gpo98168"
"001074109","151026s1955\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731665","0247 (online)","C 13.10:214","Units of Weight and Measure (United States Customary and Metric) Definitions and Tables of Equivalents /L. V. Judson.","National Bureau of Standards miscellaneous publication ;214.","https://doi.org/10.6028/NBS.MP.214;https://www.govinfo.gov/content/pkg/GOVPUB-C13-2aca3b6352009e0772f04a41c2011d3c/pdf/GOVPUB-C13-2aca3b6352009e0772f04a41c2011d3c.pdf;https://purl.fdlp.gov/GPO/gpo96152"
"001074110","151026s1963\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731758","0247 (online)","C 13.10:247","Weights and measures standards of the United States :a brief history /Lewis V. Judson.","National Bureau of Standards miscellaneous publication ;247.","https://doi.org/10.6028/NBS.MP.247;https://www.govinfo.gov/content/pkg/GOVPUB-C13-e4ebfdc3446aa55ca5b94ddf1ce10956/pdf/GOVPUB-C13-e4ebfdc3446aa55ca5b94ddf1ce10956.pdf;https://purl.fdlp.gov/GPO/gpo104337"
"001074111","151026s1967\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731759","0247 (online)","C 13.10:289","Bibliography of low energy electron collision cross section data /L. J. Kieffer.","National Bureau of Standards miscellaneous publication ;289.","https://doi.org/10.6028/NBS.MP.289;https://www.govinfo.gov/content/pkg/GOVPUB-C13-03467753057ab71a54949661e619fd63/pdf/GOVPUB-C13-03467753057ab71a54949661e619fd63.pdf;https://purl.fdlp.gov/GPO/gpo94539"
"001074112","151026s1949\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731679","0247 (online)","C 13.10:196","Nomograms for obtaining the compound composition of hydrated limes from the oxide analysis /Ernest M. Levin.","National Bureau of Standards miscellaneous publication ;196.","https://doi.org/10.6028/NBS.MP.196;https://www.govinfo.gov/content/pkg/GOVPUB-C13-4805afe590cac940887a35fb9ba4b68e/pdf/GOVPUB-C13-4805afe590cac940887a35fb9ba4b68e.pdf;https://purl.fdlp.gov/GPO/gpo97504"
"001074118","151026s1954\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731797","0247 (online)","C 13.10:210","Hydraulic research in the United States /Helen K. Middleton.","National Bureau of Standards miscellaneous publication ;210.","https://doi.org/10.6028/NBS.MP.210;https://www.govinfo.gov/content/pkg/GOVPUB-C13-24682ef682efbc5949e0285d9f3fed5d/pdf/GOVPUB-C13-24682ef682efbc5949e0285d9f3fed5d.pdf;https://purl.fdlp.gov/GPO/gpo95855"
"001074119","151026s1955\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731809","0247 (online)","C 13.10:215","Hydraulic Research in the United States 1955 /Helen K. Middleton.","National Bureau of Standards miscellaneous publication ;215.","https://doi.org/10.6028/NBS.MP.215;https://www.govinfo.gov/content/pkg/GOVPUB-C13-260efe9f46f74ac50a51b5835474ce97/pdf/GOVPUB-C13-260efe9f46f74ac50a51b5835474ce97.pdf;https://purl.fdlp.gov/GPO/gpo95890"
"001074120","151026s1956\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731816","0247 (online)","C 13.10:218","Hydraulic Research in the United States 1956 /Helen K. Middleton.","National Bureau of Standards miscellaneous publication ;218.","https://doi.org/10.6028/NBS.MP.218;https://www.govinfo.gov/content/pkg/GOVPUB-C13-e5a0d543075be93a304e7bf71f173660/pdf/GOVPUB-C13-e5a0d543075be93a304e7bf71f173660.pdf;https://purl.fdlp.gov/GPO/gpo104370"
"001074121","151026s1957\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731817","0247 (online)","C 13.10:221","Hydraulic Research in the United States 1957 (Including Contributions from Canadian Laboratories) /Helen K. Middleton.","National Bureau of Standards miscellaneous publication ;221.","https://doi.org/10.6028/NBS.MP.221;https://www.govinfo.gov/content/pkg/GOVPUB-C13-431a392134cf7a57d713ce8d7afadf45/pdf/GOVPUB-C13-431a392134cf7a57d713ce8d7afadf45.pdf;https://purl.fdlp.gov/GPO/gpo97438"
"001074122","151026s1958\\\\mdu\\\\\ot\\\f000\0\eng\d","(OCoLC)926731798","0247 (online)","C 13.10:224","Hydraulic Research in the United States 1958 (Including Contributions from Canadian Laboratories) /Helen K. Middleton.","National Bureau of Standards miscellaneous publication ;224.","https://doi.org/10.6028/NBS.MP.224;https://www.govinfo.gov/content/pkg/GOVPUB-C13-fc177dd0fef2959593a7c9c745cb366a/pdf/GOVPUB-C13-fc177dd0fef2959593a7c9c745cb366a.pdf;https://purl.fdlp.gov/GPO/gpo105268"
