001,008,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
001079112,151118s1936\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929883896, 0244 (online), C 13.27:5, Exterior waterproofing for masonry / , Technical information on building materials; 5 , https://doi.org/10.6028/NBS.TIBM.5 https://www.govinfo.gov/content/pkg/GOVPUB-C13-75bbf8ca6edd1775d8e691de3e36c80e/pdf/GOVPUB-C13-75bbf8ca6edd1775d8e691de3e36c80e.pdf https://purl.fdlp.gov/GPO/gpo99410
001079113,151118s1936\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929883898, 0244 (online), C 13.27:8, Calcium chloride as it affects Portland cement and concrete / , Technical information on building materials; 8 , https://doi.org/10.6028/NBS.TIBM.8 https://www.govinfo.gov/content/pkg/GOVPUB-C13-10a5f89774aabca22a6e04fa250530cf/pdf/GOVPUB-C13-10a5f89774aabca22a6e04fa250530cf.pdf https://purl.fdlp.gov/GPO/gpo94985
001079114,151118s1936\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929883899, 0244 (online), C 13.27:9, Concrete floor treatments / , Technical information on building materials; 9 , https://doi.org/10.6028/NBS.TIBM.9 https://www.govinfo.gov/content/pkg/GOVPUB-C13-06d51bfaa3f679e63e11160f94e83b0b/pdf/GOVPUB-C13-06d51bfaa3f679e63e11160f94e83b0b.pdf https://purl.fdlp.gov/GPO/gpo94698
001079115,151118s1936\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929883904, 0244 (online), C 13.27:10, Corrosion of metals used in house construction :  atmospheric corrosion of ferrous metals /, Technical information on building materials; 10 , https://doi.org/10.6028/NBS.TIBM.10 https://www.govinfo.gov/content/pkg/GOVPUB-C13-e6c90ad6a77007f330d1320826fdbeec/pdf/GOVPUB-C13-e6c90ad6a77007f330d1320826fdbeec.pdf https://purl.fdlp.gov/GPO/gpo104424
001079116,151118s1936\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929883905, 0244 (online), C 13.27:11, Paint for priming plaster surfaces / , Technical information on building materials; 11 , https://doi.org/10.6028/NBS.TIBM.11 https://www.govinfo.gov/content/pkg/GOVPUB-C13-c5f8c11d0b28740b202768c76a023f19/pdf/GOVPUB-C13-c5f8c11d0b28740b202768c76a023f19.pdf https://purl.fdlp.gov/GPO/gpo102793
001079117,151118s1936\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929883906, 0244 (online), C 13.27:12, Thermal insulation :  insulating values for frame wall construction - wood siding with various types of interior finishes /, Technical information on building materials; 12 , https://doi.org/10.6028/NBS.TIBM.12 https://www.govinfo.gov/content/pkg/GOVPUB-C13-52800b0e8ad31590912ee89db2f44db1/pdf/GOVPUB-C13-52800b0e8ad31590912ee89db2f44db1.pdf https://purl.fdlp.gov/GPO/gpo98248
001079118,151118s1936\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929883907, 0244 (online), C 13.27:14," Thermal insulation :  insulating values for frame wall construction - 4"" brick veneer with various types of interior finishes /", Technical information on building materials; 14 , https://doi.org/10.6028/NBS.TIBM.14 https://www.govinfo.gov/content/pkg/GOVPUB-C13-b5c98c8c76b7203ed59e952235456b6b/pdf/GOVPUB-C13-b5c98c8c76b7203ed59e952235456b6b.pdf https://purl.fdlp.gov/GPO/gpo102113
001079119,151118s1936\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929883917, 0244 (online), C 13.27:15, Thermal insulation :  insulating values for frame wall construction - wood shingles with various types of interior finishes /, Technical information on building materials; 15 , https://doi.org/10.6028/NBS.TIBM.15 https://www.govinfo.gov/content/pkg/GOVPUB-C13-5460582279fe2491ddc3c7c9bd57b1e6/pdf/GOVPUB-C13-5460582279fe2491ddc3c7c9bd57b1e6.pdf https://purl.fdlp.gov/GPO/gpo97973
001079120,151118s1936\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929883918, 0244 (online), C 13.27:16, Thermal insulation :  summary and conclusions /, Technical information on building materials; 16 , https://doi.org/10.6028/NBS.TIBM.16 https://www.govinfo.gov/content/pkg/GOVPUB-C13-edfca7c8d3d7e45026eef65154912714/pdf/GOVPUB-C13-edfca7c8d3d7e45026eef65154912714.pdf https://purl.fdlp.gov/GPO/gpo104701
001079121,151118s1936\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929883919, 0244 (online), C 13.27:17, Corrosion of metals used in house construction :  atmospheric corrosion of galvanized ferrous sheet metals /, Technical information on building materials; 17 , https://doi.org/10.6028/NBS.TIBM.17 https://www.govinfo.gov/content/pkg/GOVPUB-C13-9c8ced9a549aade4dba5e457bc46c698/pdf/GOVPUB-C13-9c8ced9a549aade4dba5e457bc46c698.pdf https://purl.fdlp.gov/GPO/gpo101111
001079122,151118s1936\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)929883921, 0244 (online), C 13.27:18, Painting plaster / , Technical information on building materials; 18 , https://doi.org/10.6028/NBS.TIBM.18 https://www.govinfo.gov/content/pkg/GOVPUB-C13-6cd96dae7ebd644b76758e637d8a6b1c/pdf/GOVPUB-C13-6cd96dae7ebd644b76758e637d8a6b1c.pdf https://purl.fdlp.gov/GPO/gpo99057
