1,8,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
1073981,130115s2012\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)824456371, 0247 (online), C 13.10:260-175," Standard Reference Materials :  SRM 1453, Expanded Polystyrene Board, for Thermal Conductivity from 281 K to 313 K /", NIST special publication ;  260-175. , https://doi.org/10.6028/NIST.SP.260-175 https://www.govinfo.gov/content/pkg/GOVPUB-C13-6b81d0e8f798988920e02ba8cbfb4690/pdf/GOVPUB-C13-6b81d0e8f798988920e02ba8cbfb4690.pdf https://purl.fdlp.gov/GPO/gpo99002
1073982,130122s2012\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)824795178, 0247 (online), C 13.10:1134, Extended Feature Set Profile Specification : / , NIST special publication ; 1134 , https://doi.org/10.6028/NIST.SP.1134 https://www.govinfo.gov/content/pkg/GOVPUB-C13-c70423fbc2af97d5a6fe0f269f134b6d/pdf/GOVPUB-C13-c70423fbc2af97d5a6fe0f269f134b6d.pdf https://purl.fdlp.gov/GPO/gpo102834
1073983,130122s2012\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)824797651, 0247 (online), C 13.10:1142, The Current State and Recent Trends of the U.S. Manufacturing Industry : / , NIST special publication ; 1142 , https://doi.org/10.6028/NIST.SP.1142 https://www.govinfo.gov/content/pkg/GOVPUB-C13-c340f853fc56df75c9fa0b87aeb0348c/pdf/GOVPUB-C13-c340f853fc56df75c9fa0b87aeb0348c.pdf https://purl.fdlp.gov/GPO/gpo102678
1073984,130122s2012\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)824796458, 0247 (online), C 13.10:1135, Characterization of the US Construction Labor Supply : / , NIST special publication ; 1135 , https://doi.org/10.6028/NIST.SP.1135 https://www.govinfo.gov/content/pkg/GOVPUB-C13-59984088412e5006790915f189833b63/pdf/GOVPUB-C13-59984088412e5006790915f189833b63.pdf https://purl.fdlp.gov/GPO/gpo98300
1073985,130207s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)826903969, 0247 (online), C 13.10:500-297, Report on the static analysis tool exposition (SATE) IV : / , NIST special publication ;  500-297. , https://doi.org/10.6028/NIST.SP.500-297 https://www.govinfo.gov/content/pkg/GOVPUB-C13-85ce8522f8e17f9964cecdf57250a8c6/pdf/GOVPUB-C13-85ce8522f8e17f9964cecdf57250a8c6.pdf https://purl.fdlp.gov/GPO/gpo100236
1073986,130207s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)826902598, 0247 (online), C 13.10:1151, Markup instructions for extended friction ridge features : / , NIST special publication ; 1151 , https://doi.org/10.6028/NIST.SP.1151 https://www.govinfo.gov/content/pkg/GOVPUB-C13-3c955ce4b2d7ecf9c2e1d62bfb8c9a17/pdf/GOVPUB-C13-3c955ce4b2d7ecf9c2e1d62bfb8c9a17.pdf https://purl.fdlp.gov/GPO/gpo96970
1073987,130207s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)826903970, 0247 (online), C 13.10:1152, Latent interoperability transmission specification : / , NIST special publication ; 1152 , https://doi.org/10.6028/NIST.SP.1152 https://www.govinfo.gov/content/pkg/GOVPUB-C13-58dd24ec9724a1b17015092ba68c1c3c/pdf/GOVPUB-C13-58dd24ec9724a1b17015092ba68c1c3c.pdf https://purl.fdlp.gov/GPO/gpo98291
1073988,130207s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)826902599, 0247 (online), C 13.10:1147, Benefits and costs of energy standard adoption in new commercial buildings : / , NIST special publication ; 1147 , https://doi.org/10.6028/NIST.SP.1147 https://www.govinfo.gov/content/pkg/GOVPUB-C13-eebbb52342d0239c8a781cf0eef04b2b/pdf/GOVPUB-C13-eebbb52342d0239c8a781cf0eef04b2b.pdf https://purl.fdlp.gov/GPO/gpo104733
1073989,130219s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)828010227, 0247 (online), C 13.10:260-177," Standard Reference Materials(R) User's Guide for RM 8096 and 8097 :  The MEMS 5-in-1, 2013 Edition /", NIST special publication ;  260-177. , https://doi.org/10.6028/NIST.SP.260-177 https://www.govinfo.gov/content/pkg/GOVPUB-C13-0ec92f2f2715db0c34a7586a1aa6bc62/pdf/GOVPUB-C13-0ec92f2f2715db0c34a7586a1aa6bc62.pdf https://purl.fdlp.gov/GPO/gpo95021
1073990,130305s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)828938681, 0247 (online), C 13.10:1148-1, Benefits and Costs of Energy Standard Adoption in New Commercial Buildings :  Northeast Census Region /, NIST special publication ;  1148-1. , https://doi.org/10.6028/NIST.SP.1148-1 https://www.govinfo.gov/content/pkg/GOVPUB-C13-5243c929cb7e23530d40feed04ea6ecf/pdf/GOVPUB-C13-5243c929cb7e23530d40feed04ea6ecf.pdf https://purl.fdlp.gov/GPO/gpo97896
1073991,130305s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)828937597, 0247 (online), C 13.10:1148-2, Benefits and Costs of Energy Standard Adoption in New Commercial Buildings :  Midwest Census Region /, NIST special publication ;  1148-2. , https://doi.org/10.6028/NIST.SP.1148-2 https://www.govinfo.gov/content/pkg/GOVPUB-C13-70ef39b7bba825d2b1794f8c4b553cdd/pdf/GOVPUB-C13-70ef39b7bba825d2b1794f8c4b553cdd.pdf https://purl.fdlp.gov/GPO/gpo99232
1073992,130305s2013\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)828938683, 0247 (online), C 13.10:1148-3, Benefits and Costs of Energy Standard Adoption in New Commercial Buildings :  South Census Region /, NIST special publication ;  1148-3. , https://doi.org/10.6028/NIST.SP.1148-3 https://www.govinfo.gov/content/pkg/GOVPUB-C13-379f7b4c35fd0b8ba70667a38a6c7dd9/pdf/GOVPUB-C13-379f7b4c35fd0b8ba70667a38a6c7dd9.pdf https://purl.fdlp.gov/GPO/gpo96677
