001,008,035 $a,074 $a,086 $a,245 $a$b,830 $a$v,856 40 $u
001074740,151026s1972\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740113, 0247 (online), C 13.10:260-40," Standard reference materials :  selection of differential thermal analysis temperature standards through a cooperative study (SRM 758, 759, 760)/", NBS special publication ;  260-40. , https://doi.org/10.6028/NBS.SP.260-40 https://www.govinfo.gov/content/pkg/GOVPUB-C13-142fbdcd16b1c414bb1378f501402d69/pdf/GOVPUB-C13-142fbdcd16b1c414bb1378f501402d69.pdf https://purl.fdlp.gov/GPO/gpo95244
001074741,151026s1975\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740140, 0247 (online), C 13.10:260-46, Standard reference materials :  thermal conductivity and electrical resistivity standard reference materials /, NBS special publication ;  260-46. , https://doi.org/10.6028/NBS.SP.260-46 https://www.govinfo.gov/content/pkg/GOVPUB-C13-082b19e4fa2a6669aa0cf5421464fab2/pdf/GOVPUB-C13-082b19e4fa2a6669aa0cf5421464fab2.pdf https://purl.fdlp.gov/GPO/gpo94741
001074742,151026s1975\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740136, 0247 (online), C 13.10:260-50, Standard reference materials :  thermal conductivity and electrical resistivity standard reference materials /, NBS special publication ;  260-50. , https://doi.org/10.6028/NBS.SP.260-50 https://www.govinfo.gov/content/pkg/GOVPUB-C13-0d74860100bbbd4e0a2469158952e008/pdf/GOVPUB-C13-0d74860100bbbd4e0a2469158952e008.pdf https://purl.fdlp.gov/GPO/gpo94821
001074743,151026s1975\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740168, 0247 (online), C 13.10:260-52, Standard reference materials :  thermal conductivity and electrical resistivity standard reference materials /, NBS special publication ;  260-52. , https://doi.org/10.6028/NBS.SP.260-52 https://www.govinfo.gov/content/pkg/GOVPUB-C13-197d42b58c67f832e4a60a75426b636e/pdf/GOVPUB-C13-197d42b58c67f832e4a60a75426b636e.pdf https://purl.fdlp.gov/GPO/gpo95351
001074744,151026s1987\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740141, 0247 (online), C 13.10:260-108, Standard reference materials :  summary of gas cylinder and permeation tube standard reference materials issued by the National Bureau of Standards/, NBS special publication ;  260-108. , https://doi.org/10.6028/NBS.SP.260-108 https://www.govinfo.gov/content/pkg/GOVPUB-C13-1da856d9dcd7cad4180a2541e3576956/pdf/GOVPUB-C13-1da856d9dcd7cad4180a2541e3576956.pdf https://purl.fdlp.gov/GPO/gpo95569
001074745,151026s1985\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740143, 0247 (online), C 13.10:260-97," Standard reference materials :  summary of the coal, ore, mineral, rock, and refractory standards issued by the National Bureau of Standards/", NBS special publication ;  260-97. , https://doi.org/10.6028/NBS.SP.260-97 https://www.govinfo.gov/content/pkg/GOVPUB-C13-ec4a26e05dcfcc229d3eb994764f0b1f/pdf/GOVPUB-C13-ec4a26e05dcfcc229d3eb994764f0b1f.pdf https://purl.fdlp.gov/GPO/gpo105468
001074746,151026s1970\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740022, 0247 (online), C 13.10:260-23, Standard reference materials :  viscosity of a standard borosilicate glass/, NBS special publication ;  260-23. , https://doi.org/10.6028/NBS.SP.260-23 https://www.govinfo.gov/content/pkg/GOVPUB-C13-1b4e881e33c85c68e7e1da254672cb1f/pdf/GOVPUB-C13-1b4e881e33c85c68e7e1da254672cb1f.pdf https://purl.fdlp.gov/GPO/gpo95658
001074748,151026s1979\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740188, 0247 (online), C 13.10:260-65," Standard reference materials :  micro-homogeneity studies of NBS standard reference materials, NBS research materials, and other related samples/", NBS special publication ;  260-65. , https://doi.org/10.6028/NBS.SP.260-65 https://www.govinfo.gov/content/pkg/GOVPUB-C13-c1877798b839f9fc00af364f80f49498/pdf/GOVPUB-C13-c1877798b839f9fc00af364f80f49498.pdf https://purl.fdlp.gov/GPO/gpo102597
001074749,151026s1982\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740129, 0247 (online), C 13.10:260-73, Standard reference materials :  a standard reference material containing nominally fifteen percent austenite (SRM 486)/, NBS special publication ;  260-73. , https://doi.org/10.6028/NBS.SP.260-73 https://www.govinfo.gov/content/pkg/GOVPUB-C13-eed758ee93e48c6e4b6d7ff838aa0de8/pdf/GOVPUB-C13-eed758ee93e48c6e4b6d7ff838aa0de8.pdf https://purl.fdlp.gov/GPO/gpo104739
001074750,151026s1972\\\\mdu\\\\\ot\\\f000\0\eng\d, (OCoLC)926740189, 0247 (online), C 13.10:260-38, Standard reference materials :  preparation and calibration of standards of spectral specular reflectance/, NBS special publication ;  260-38. , https://doi.org/10.6028/NBS.SP.260-38 https://www.govinfo.gov/content/pkg/GOVPUB-C13-3e599846df5625dcb27a8e9045d3a1c7/pdf/GOVPUB-C13-3e599846df5625dcb27a8e9045d3a1c7.pdf https://purl.fdlp.gov/GPO/gpo97022
