MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Bibliographic_Level/Illustrations/Publication status	Disaster lit: resource guide for disaster medicine and public health	001021054	951086158		HE			Department of Health and Human Services			HE 20.3635/2:			0508-D-12 (online)			20uu	https://purl.fdlp.gov/GPO/gpo82018			https://disasterlit.nlm.nih.gov/		
Bibliographic_Level/Illustrations/Publication status	Bid protests	001022578	993258358		GA			Government Accountability Office			GA 1.5/A-3:			0546-D-10 (online)			199u	https://purl.fdlp.gov/GPO/gpo82496			http://www.gao.gov/legal/bid-protests/		
Bibliographic_Level/Illustrations/Publication status	County business patterns (CBP), CBP data tables	001027511	1002306564		C			Department of Commerce			C 3.204/5-2:			0133-A-55 (online)			20uu	https://purl.fdlp.gov/GPO/gpo84357			https://www.census.gov/programs-surveys/cbp/data/tables.html		
Bibliographic_Level/Illustrations/Publication status	Consumer price index, Consumer price index (CPI) databases	001037378	1014123862		L			Department of Labor			L 2.38/3-3:			0768-B-67 (online)			200u	https://purl.fdlp.gov/GPO/gpo87150			https://www.bls.gov/cpi/data.htm		
Bibliographic_Level/Illustrations/Publication status	American Housing Survey table creator	001041577	1019826056		C			Department of Commerce			C 3.215/19-4:			0156-P-03 (online)			20uu	https://purl.fdlp.gov/GPO/gpo88308			https://www.census.gov/programs-surveys/ahs/data/interactive/ahstablecreator.html		
Bibliographic_Level/Illustrations/Publication status	Protected areas database of the United States (PAD-US)	001042637	1004889509		I			Department of the Interior			I 19.2:P 94/5/			0621 (online)			2009-	https://purl.fdlp.gov/GPO/gpo88478	https://gapanalysis.usgs.gov/padus/				
Bibliographic_Level/Illustrations/Publication status	Evaporative demand drought index	001044293	1022120579		C			Department of Commerce			C 55.52/3:			0250-E-58 (online)			20uu	https://purl.fdlp.gov/GPO/gpo88919			https://www.esrl.noaa.gov/psd/eddi/		
Bibliographic_Level/Illustrations/Publication status	govinfo	001046435	1022269930	1044421945; 1056514606; 1060997502	GP			Government Publishing Office			GP 3.43/2:			0556-C-18 (online)			2016-	https://purl.fdlp.gov/GPO/gpo89316			https://www.govinfo.gov/		
Bibliographic_Level/Illustrations/Publication status	ETM search	001049209	1028578902		D			Department of Defense			D 101.11/3:			0329-A-01 (online)			20uu	https://purl.fdlp.gov/GPO/gpo89509			https://liw.logsa.army.mil/etmapp/#/etm/search		
Bibliographic_Level/Illustrations/Publication status	CDC TRAIN	001053636	1031706478		HE			Department of Health and Human Services			HE 20.7065:			0504-W-36 (online)			20uu	https://purl.fdlp.gov/GPO/gpo91012			https://www.train.org/cdctrain/welcome		
Bibliographic_Level/Illustrations/Publication status	SAM.gov	001064267	1044749597		GS			General Services Administration			GS 1.52:			0559-J-20 (online)			2018-	https://purl.fdlp.gov/GPO/gpo105986			https://sam.gov/content/home		
Bibliographic_Level/Illustrations/Publication status	Assistance listings	001079417	1050869187		GS			General Services Administration			GS 1.52/2:			0559-J-21 (online)			2018-	https://purl.fdlp.gov/GPO/gpo108443			https://sam.gov/content/assistance-listings		
Bibliographic_Level/Illustrations/Publication status	Compilation of Presidential documents	001079914	301983501	1098708182	AE			National Archives and Records Administration			AE 2.109/2:			0577-A-03 (online)			2009	https://purl.fdlp.gov/GPO/gpo108821			https://www.govinfo.gov/app/collection/CPD		
Bibliographic_Level/Illustrations/Publication status	Explore census data	001099724	1102594241		C			Department of Commerce			C 3.300/2:			0154-B-64 (online)			2019-	https://purl.fdlp.gov/GPO/gpo120978			https://data.census.gov/cedsci/		
Bibliographic_Level/Illustrations/Publication status	Foreign affairs manual and handbook	001109157	42920290	855608244	S			Department of State			S 1.40/2:F 76/5/			0876-B (online)			199u	https://purl.fdlp.gov/GPO/gpo127808	http://a.m.state.sbu/sites/gis/dir/fam/defaultTOC.aspx		https://fam.state.gov/default.aspx		
Bibliographic_Level/Illustrations/Publication status	American Indian and Alaskan Native Documents in the Congressional Serial Set, 1817-1899	001111314	1043671308		Y			Congress			Y 1.2:IN 2/25/			0998 (online)			2018-	https://purl.fdlp.gov/GPO/gpo129037			https://digitalcommons.law.ou.edu/indianserialset/		
Bibliographic_Level/Illustrations/Publication status	Labor-management relations: collective bargaining agreements	001113105	1136134128		PM			Personnel Management Office			PM 1.80:			0295-D-21 (online)			2020	https://purl.fdlp.gov/GPO/gpo130788			https://www.opm.gov/policy-data-oversight/labor-management-relations/collective-bargaining-agreements/		
Bibliographic_Level/Illustrations/Publication status	Enforcement and compliance history online	001113803	53235434		EP			Environmental Protection Agency			EP 1.124/4:			0431-J-86 (online)			2002	https://purl.fdlp.gov/GPO/gpo131042			https://echo.epa.gov/		
Bibliographic_Level/Illustrations/Publication status	Prints & photographs online catalog	001113889	1138012679		LC			Library of Congress			LC 1.54/4:			0785-R-08 (online)			1998-	https://purl.fdlp.gov/GPO/gpo131071			http://www.loc.gov/pictures/		
Bibliographic_Level/Illustrations/Publication status	Sustainable Agriculture Research and Education (SARE) agroforestry grants	001114006	1138465031		A			Department of Agriculture			A 94.19/2:			0040-A-21 (online)			2018-	https://purl.fdlp.gov/GPO/gpo131121			https://www.fs.usda.gov/nac/resources/usda-programs/sare-agroforestry-grants/		
Bibliographic_Level/Illustrations/Publication status	Publications	001115065	1140978799		T			Department of the Treasury			T 12.31:			0947-A-21 (online)			20uu	https://purl.fdlp.gov/GPO/gpo131981			https://www.ots.treas.gov/publications-and-resources/publications/index-publications.html		
Bibliographic_Level/Illustrations/Publication status	National Center for Statistics and Analysis (NCSA) motor vehicle traffic crash data resource page	001115139	1141093291		TD			Department of Transportation			TD 8.27/24:			0982-D-84 (online)			20uu	https://purl.fdlp.gov/GPO/gpo131895			https://crashstats.nhtsa.dot.gov/#/		
