MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Local Field 922/SPOT	Korea: Twin Tunnels	001103432	1110704450		D			Department of Defense			D 110.2:K 84/T 92			0359-C-11 (online)			2019	https://purl.fdlp.gov/GPO/gpo123587			https://www.dvidshub.net/video/688162/korea-twin-tunnels		
Local Field 922/SPOT	Attorneys admitted to practice before the United States Patent Office	001136583	1236207770		I			Department of the Interior			I 23.12:907-10						1910	https://purl.fdlp.gov/GPO/gpo151181			https://www.uspto.gov/sites/default/files/documents/Roster%201907-1910.pdf		
Local Field 922/SPOT	Roster of registered attorneys entitled to practice before the United States Patent Office	001136584	1236207672		I			Department of the Interior			I 23.12:						1899-1910	https://purl.fdlp.gov/GPO/gpo151180			https://www.uspto.gov/learning-and-resources/patent-and-trademark-practitioners/historical-rosters		
Local Field 922/SPOT	Radiological cleanup of Enewetak Atoll	001149186	987581777	1017739195	D			Department of Defense			D 15.2:R 1			0379-B-11 (online)			1981	https://purl.fdlp.gov/GPO/gpo154593			https://www.dtra.mil/Portals/61/Documents/NTPR/1981-DNA_The%20Radiological%20Cleanup%20of%20Enewetak%20Atoll-web.pdf		
Local Field 922/SPOT	Defense's nuclear agency, 1947-1997	001149189	852774578		D			Department of Defense			D 15.2:D 36			0379-B-11 (online)			2002	https://purl.fdlp.gov/GPO/gpo154592			https://www.dtra.mil/Portals/61/Documents/History/Defense's%20Nuclear%20Agency%201947-1997.pdf		
Local Field 922/SPOT	Annual report of the Federal Deposit Insurance Corporation for the year ending	001166255	561563601	316100441; 908029868; 951218292; 951219730; 951224142; 1010735315; 1099997033; 1117654642; 1122523366; 1122736712; 1126246625; 1127054581; 1129137349; 1129253066; 1132690567; 1196282308; 1197900782; 1200642915; 1202516558; 1204175034; 1222853165; 1223262661; 1224973330; 1225581923; 1227426607; 1228666356; 1229958507; 1232123556; 1232399337; 1235701916; 1236807668; 1237507083; 1237939095	Y			Congress			Y 3.F 31/8:1/			1061-K (online)			1935-1981	https://purl.fdlp.gov/GPO/gpo171150			https://www.fdic.gov/about/financial-reports/reports/index.html		
Local Field 922/SPOT	Report of operations	001166256	857922706		Y			Congress			Y 3.F 31/8:2 R 29						1934	https://purl.fdlp.gov/GPO/gpo171151			https://www.fdic.gov/about/financial-reports/reports/archives/fdic-ar-1933.pdf		
Local Field 922/SPOT	Bulletins of the public health	001166344	181336285	367943387; 993883397; 995599225	T			Department of the Treasury			T 27.6:						1881	https://purl.fdlp.gov/GPO/gpo171192			https://www.ncbi.nlm.nih.gov/pmc/journals/427/#bullpublichealth		
Local Field 922/SPOT	Weekly abstract of sanitary reports	001166345	244293712	181336286	T			Department of the Treasury			T 27.6:						1887-1890	https://purl.fdlp.gov/GPO/gpo171193			https://www.ncbi.nlm.nih.gov/pmc/journals/428/#waosr		
Local Field 922/SPOT	Abstract of sanitary reports	001166347	367943689	1098713869	T			Department of the Treasury			T 27.6:						1890	https://purl.fdlp.gov/GPO/gpo171194			https://www.ncbi.nlm.nih.gov/pmc/journals/428/#waosr		
Local Field 922/SPOT	Public health reports	001166348	181336288	214285862; 762298524; 980022093; 988431998; 1026553295; 1029792884; 1033566832; 1038406299; 1042826416	T	FS	HE	Department of the Treasury	Office of the Secretary, Department of Health, Education, and Welfare	Department of Health and Human Services	T 27.6:	FS 2.7:	HE 20.2010:	0103 (online)	0836 (online)	0527 (online)	1896-1970	https://purl.fdlp.gov/GPO/gpo171195			https://www.ncbi.nlm.nih.gov/pmc/journals/347/#pubhealthreporig		
Local Field 922/SPOT	HSMHA health reports	001166349	233145188	972032035; 1029781521; 1033561245; 1038388789; 1043186798; 1098709810	HE			Department of Health and Human Services			HE 20.2010/2:			0497 (online)			1971-1972	https://purl.fdlp.gov/GPO/gpo171196			https://www.ncbi.nlm.nih.gov/pmc/journals/340/#hsmhahr		
Local Field 922/SPOT	Health services reports	001166351	60627531	761170986; 972066938; 1029784708; 1033549364; 1038389089; 1043216938; 1088493987; 1099111468	HE	HE		Department of Health and Human Services	Department of Health and Human Services		HE 20.2010/2:	HE 20.5009:		0497 (online)			1972-1974	https://purl.fdlp.gov/GPO/gpo171197			https://www.ncbi.nlm.nih.gov/pmc/journals/339/#healthservrep		
Local Field 922/SPOT	Global and regional sea level rise scenarios for the United States: updated mean projections and extreme water level probabilities along U.S. coastlines	001172799	1296950145		C			Department of Commerce			C 55.402:SE 1/3			0192 (online)			2022	https://purl.fdlp.gov/GPO/gpo174963			https://aambpublicoceanservice.blob.core.windows.net/oceanserviceprod/hazards/sealevelrise/noaa-nos-techrpt01-global-regional-SLR-scenarios-US.pdf		
Local Field 922/SPOT	Compound era of U.S. counterterrorism	001255535	1419982627		D			Department of Defense			D 109.2:C 83			0354 (online)			2023	https://purl.fdlp.gov/GPO/gpo222307			https://ctc.westpoint.edu/wp-content/uploads/2023/08/Compound-Era-Report.pdf		
Local Field 922/SPOT	AI.gov	001257767	1429601400		PREX			Executive Office of the President			PREX 23.2:AR 7/			0857-P-02 (online)			2021-	https://purl.fdlp.gov/GPO/gpo224074			https://ai.gov/		
